dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.0.1,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,schema_name
60a528e8b656ce01b4c0c0a6,Acceslibre,acceslibre,https://www.data.gouv.fr/fr/datasets/acceslibre/,93ae96a7-1db7-4cb4-a9f1-6d778370b640,acceslibre.csv,https://static.data.gouv.fr/resources/acceslibre/20210920-010040/acceslibre.csv,2021-09-20T01:00:41.055000,acceslibre,,1 - schema request,,False,False,,False,,False,False,True,MTES-MCT/acceslibre-schema
60f5a0e8a803e000b3404e6c,Schéma des données d'accessibilité des ERPs (organisation Indigo),schema-des-donnees-daccessibilite-des-erps-organisation-indigo,https://www.data.gouv.fr/fr/datasets/schema-des-donnees-daccessibilite-des-erps-organisation-indigo/,543d78b2-6f94-4842-bab1-e43a7af9d2dc,13-07-2021 Acces Libre Data2.csv,https://static.data.gouv.fr/resources/schema-des-donnees-daccessibilite-des-erps-organisation-indigo/20210719-175729/data.csv,2021-07-19T17:57:30.027000,indigo-group,,1 - schema request,0.0.1,True,True,0.0.1,True,False,False,False,False,MTES-MCT/acceslibre-schema
