id,nom,insee,geopoint,adresse,emplacements,no_appel,info,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
13055-T-379,Vieille Chapelle,13055,"5.37440227512379, 43.2478730587312",Pce Vieille Chapelle,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-374,Place Du Quatre Septembre,13055,"5.35909905667374, 43.288807160618",rue Decazes,,0811469090,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-352,Bir Hakeim,13055,"5.3771696727352, 43.2971165376457",Rue de Bir Hakeim,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-193,Puget Haut,13055,"5.37238334082193, 43.289981644889",Cours Pierre Puget,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-308,Nedelec,13055,"5.37687044338308, 43.3022955274524",avenue Charles Nedelec,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-305,Grimaldi Regusse,13055,"5.41450458592305, 43.304513643946",Boulevard Grimaldi,,0811469090,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-276,Estaque Plage,13055,"5.31524068167276, 43.360176626323",Plage de l'Estaque,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-272,Honnorat,13055,"5.3813842592272, 43.3041349761152",Rue Honnorat,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-269,Chutes Lavie,13055,"5.39714006271269, 43.3138424273273",Ave des Chutes Lavie,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-245,Pont De Vivaux,13055,"5.41727313678245, 43.2794198012313",Place de Pont de Vivaux,,0811469090,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-242,Provence,13055,"5.39708693713242, 43.3017234052623",Rue de Provence,,0811469090,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-221,Leon Gambetta,13055,"5.38108257915221, 43.2992066868016",Allee Leon Gambetta,,0811469090,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-204,Guinot,13055,"5.371490295204, 43.3104031208235",Rue Guinot,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
13055-T-203,Mery,13055,"5.37132679916203, 43.2989414648852",Rue Mery,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31149-T-014,GUYNEMER (AV GEORGES GUYNEMER),31149,"1.34341457759, 43.6164261403",6 AV GEORGES GUYNEMER COLOMIERS,1,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31149-T-023,POSTE (PL DE LA POSTE),31149,"1.3294392305, 43.6102856714",1 PL DE LA POSTE COLOMIERS,1,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
31417-T-022,PRINCIPALE (RUE PRINCIPALE),31417,"1.28114825994, 43.6171829922",43 RUE PRINCIPALE PIBRAC,4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
38529-T-001,Uriage,38529,"5.810867, 45.118761",Avenue d’Uriage,2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54526-T-001,TOMBLAINE (angle rue de la République),54526,"6.21079921524923, 48.6867256348795",Avenue de la Concorde,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-012,MARCHE CENTRAL (derrière marché couvert),54395,"6.18213871904528, 48.6893412198224",Place Henri Mengin,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-011,FABVIER (angle rue Maréchal Juin),54395,"6.17441191227471, 48.6791567628722",Rue du Général Fabvier,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-010,CROIX DE BOURGOGNE (A l'angle Rue Jeanne d'Arc),54395,"6.17201058033846, 48.6851695785702",Place de la Croix de Bourgogne,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-009,HAUT DU LIEVRE (en face de la clinique Majorelle),54395,"6.14396689405266, 48.7017692174085",rue Ambroise Paré,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-008,VELODROME (angle Bd Aiguillettes),54395,"6.16495296453783, 48.6672668601401",Avenue du Général Mangin,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-007,AIME MOROT (angle rue Saint Bodon),54395,"6.1655495953671, 48.6991473341293",Place Aimée Morot,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-006,HOPITAL CENTRAL (devant hôpital central),54395,"6.1896718625702, 48.6837771725029",Avenue Maréchal de Lattre de Tassigny,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-005,CITADELLE (devant Porte Citadelle),54395,"6.17790773911121, 48.7002731340837",Rue Henri Deglin,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-004,MEDREVILLE (angle rue de Cronstadt),54395,"6.15859514726252, 48.6846769925112",Rue de Laxou,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-003,PORTE HERE (Place Carrière),54395,"6.1826094490822, 48.6945245618332",Place Carrière,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-002,CATHEDRALE (angle rue Stanislas),54395,"6.1812905793819, 48.6923661044661",Rue Saint-Dizier,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54395-T-001,Gare SNCF (Station Taxi niveau -1),54395,"6.17505667172313, 48.6895707824448",Place Simone Veil,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54274-T-001,JARVILLE (à côté de la Mairie),54274,"6.20272344938798, 48.6730493985139",Rue de la République,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54184-T-001,ESSEY-LES-NANCY (à côté du Mac Donald),54184,"6.22463458820499, 48.7010312142633",Avenue Brigachtal,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-008,Place Albert Camus,45234,"1.93681527943398, 47.83441295",Place Albert Camus,1,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-007,Hôpital de la Source,45234,"1.9238762, 47.8366792",Avenue de l’hôpital,3,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-006,Rue Greffier,45234,"1.905919, 47.8847021",Rue Greffier,1,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-005,Rue Eugène Turbat,45234,"1.9059222, 47.8881595",62 Rue Eugène Turbat,2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-004,rue Porte Madeleine,45234,"1.8963108, 47.9016694",28 rue Porte Madeleine,3,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-003,Rue Royale,45234,"1.9038722, 47.9020632",73 Rue Royale,2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-002,Gare d’Orléans,45234,"1.9047165488601, 47.9078924",Gare d’Orléans,20,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
45234-T-001,Rue Jean Philippe Rameau,45234,"1.9295926, 47.9113859",Rue Jean Philippe Rameau,2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54547-T-001,GERARD D'ALSACE,54547,"6.18383924192434, 48.6732890644986",Avenue Paul Doumer,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54547-T-002,NATIONS (centre commercial),54547,"6.17401976170509, 48.6629948816861",Rue des Nations,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
54547-T-003,CHU,54547,"6.14547772931844, 48.6483889646845",CHU devant Hôpital adulte,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-012,Place Alsace-Lorraine,56121,"-3.36173855999999, 47.74923976",9 Place Alsace-Lorraine,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-001,TAX901,69123,"4.805065, 45.7670419990571",Rue de la Pépinière Royale,2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
64102-T-031,place Pereire,64102,"-1.46974767404329, 43.4967309851684",place Pereire,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
64102-T-030,Place Général de Gaulle,64102,"-1.4759628254628, 43.4935041202616",Place Général de Gaulle,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-019,Rue Gilles Gahinet,56121,"-3.35267033399998, 47.742027842",,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-018,Rue Gilles Gahinet,56121,"-3.35263078100002, 47.742061267",,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-017,Rue Honoré d'Estienne d'Orves,56121,"-3.37402157299999, 47.731589803",,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
56121-T-016,Rue du Couëdic de Kergoualer,56121,"-3.364105924, 47.748986384",5 Rue du Couëdic de Kergoualer,,,sur rue,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
