dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,organization_or_owner,error_type,resource_found_by,is_valid_v_0.1.1,is_valid_one_version
605c48e931cec66d3952746b,lieux-dinclusion-numerique-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/lieux-dinclusion-numerique-de-la-ville-dantibes/,387738dc-f999-471c-8886-779ed743c985,antibes-inclusion-num.csv,2021-03-25T09:25:37.625000,ville-dantibes,,1 - schema request,False,False
605c48e931cec66d3952746b,lieux-dinclusion-numerique-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/lieux-dinclusion-numerique-de-la-ville-dantibes/,97dcaf0d-1f60-45c6-a3e1-0491c91b283e,antibes-inclusion-num.xls,2021-03-25T09:25:24.645000,,wrong-file-format,1 - schema request,False,False
