resource_found_by,error_type,total_nb_resources,is_valid_v_1.0.0,is_valid_v_1.0.1,is_valid_v_1.0.2,is_valid_v_1.0.3,is_valid_v_2.0.0,is_valid_one_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,is_empty,is_schema_version_updated,is_schema_added,is_schema_dropped
1 - schema request,no-error,222,7,7,7,10,5,15,15,15,0,207,0,15,0,207
1 - schema request,orphan-dataset,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1 - schema request,wrong-file-format,39,0,0,0,0,0,0,0,0,0,39,0,0,0,39
3 - search request,no-error,19,1,1,1,1,1,2,2,0,2,0,1,0,2,0
3 - search request,wrong-file-format,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
