resource_found_by,error_type,total_nb_resources,is_valid_v_0.8.1,is_valid_one_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,is_empty,is_schema_version_updated,is_schema_added,is_schema_dropped
1 - schema request,no-error,76,1,1,1,1,0,75,0,1,0,75
1 - schema request,wrong-file-format,86,0,0,0,0,0,86,0,0,0,86
3 - search request,no-error,18,0,0,0,0,0,0,0,0,0,0
3 - search request,wrong-file-format,102,0,0,0,0,0,0,0,0,0,0
