dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,error_type,organization_or_owner,resource_found_by,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_1.0.0,is_valid_one_version,initial_schema_version,most_recent_valid_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
5a09a184c751df2045200379,enjeux-lineaires-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-ppr-garon-global-rhone/,7b05a1e4-a861-409f-a748-2802ba8ea338,Service_de_telechargement_simple_de_DtARA__flux_ATOM.pdf,2020-01-24T12:53:08.323000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a184c751df2045200379,enjeux-lineaires-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-ppr-garon-global-rhone/,65b53e9d-4a8c-4f70-84eb-8a752b3bb5c0,Service_WFS_de_DtARA.pdf,2020-01-24T12:53:08.323000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a184c751df2045200379,enjeux-lineaires-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-ppr-garon-global-rhone/,7c25b85e-5f4c-4012-8477-38cf10a8a61b,Service_WMS_de_GEORHONEALPES.pdf,2020-01-24T12:53:08.324000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a184c751df2045200379,enjeux-lineaires-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-ppr-garon-global-rhone/,b496fa70-75a0-45c5-bee4-aa8855a6d548,Service_de_telechargement_simple_de_GEORHONEALPES__flux_ATOM.pdf,2020-01-24T12:53:08.325000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a184c751df2045200379,enjeux-lineaires-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-ppr-garon-global-rhone/,13ac6026-abe4-41ab-af40-8117048da5d4,2015_01_22_CONDITIONS_MAD_UTI_DONNEES.pdf,2020-01-24T12:53:08.326000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a184c751df2045200379,enjeux-lineaires-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-ppr-garon-global-rhone/,e6f674a6-0812-4e0b-afaa-7dcf17162187,n_enjeu_pprn_20130001_l_069 (export GeoJSON),2020-01-24T12:53:08.331000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a184c751df2045200379,enjeux-lineaires-ppr-garon-global-rhone,https://www.data.gouv.fr/fr/datasets/enjeux-lineaires-ppr-garon-global-rhone/,66bdb853-b376-4e73-a0a7-50dbf9a19309,n_enjeu_pprn_20130001_l_069 (export SHP/WGS-84),2020-01-24T12:53:08.332000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f1c751df2201d962e9,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,3161e81d-1175-47dd-8934-d381fb0fea57,n_enjeu_pprn_2007002_p_069 (export GeoJSON),2020-01-24T12:52:59.103000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a1f1c751df2201d962e9,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://www.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,e517e81b-0dbf-4229-a58c-bfef948b4757,n_enjeu_pprn_2007002_p_069 (export SHP/WGS-84),2020-01-24T12:52:59.104000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
5a09a19d88ee3828e67aaf8e,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://www.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,1ba8f304-263e-462f-b267-f6ac94240f11,n_enjeu_pprn_19980002_s_069.tab (archive),2020-01-24T12:53:06.173000,wrong-file-format,,3 - search request,False,False,False,False,False,,,False,False,False
