dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,error_type,organization_or_owner,resource_found_by,is_valid_v_1.1.0,is_valid_v_2.0.0,is_valid_v_2.0.1,is_valid_one_version,initial_schema_version,most_recent_valid_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
582c1ef188ee3821b8c65bb8,nouvelle-aquitaine-partiel-operation-programmee-damelioration-de-lhabitat-opah-perimetres-surfacique,https://www.data.gouv.fr/fr/datasets/nouvelle-aquitaine-partiel-operation-programmee-damelioration-de-lhabitat-opah-perimetres-surfacique/,b005b745-a113-4480-ad9f-0e03c50345d4,l_opah_s_r75.tab (archive),2020-01-24T13:13:28.056000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
59591532a3a7291dd09c803e,interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014,https://www.data.gouv.fr/fr/datasets/interventions-regionales-en-faveur-du-logement-locatif-social-offre-nouvelle-aide-a-loperation-2010-a-2014/,448598c4-5673-40c4-9975-80b317bc8b24,Export au format CSV,2014-08-20T09:28:46,,region-ile-de-france,3 - search request,False,False,False,False,,,False,False,False
5852bf0588ee38292bc65bb6,terrain-daccueil-pour-les-gens-du-voyage-isere,https://www.data.gouv.fr/fr/datasets/terrain-daccueil-pour-les-gens-du-voyage-isere/,62838784-000f-462e-b080-c49a9f46f96c,N_TERRAIN_GENS_VOYAGE_S_038.shp (export GeoJSON),2020-02-28T06:47:42.452000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
5883cb8788ee3810b49b81ad,terrains-daccueil-pour-les-gens-du-voyage-en-ariege,https://www.data.gouv.fr/fr/datasets/terrains-daccueil-pour-les-gens-du-voyage-en-ariege/,eb8d290a-008b-440d-8f5e-2960e4f76e95,N_TERRAIN_GENS_VOYAGE_S_009.TAB (export SHP/WGS-84),2020-02-29T06:46:42.071000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56a1f78c88ee3873ca82241e,unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire,https://www.data.gouv.fr/fr/datasets/unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire/,482578fb-269e-4ef6-a86f-9d80af370caf,r_methanisation_p_r52.shp (export GeoJSON),2021-01-20T06:40:04.725000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56a1f78c88ee3873ca82241e,unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire,https://www.data.gouv.fr/fr/datasets/unites-de-methanisation-subventionnees-par-lademe-en-pays-de-la-loire/,a7864574-d60b-4bc2-b305-0d51b3b64307,r_methanisation_p_r52.shp (archive),2021-01-20T06:40:04.724000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
53d97ab6a3a729019f37e2b6,morpho-sedimentologie-et-courants-de-maree-3d-de-la-zone-eolien-pose-de-saint-nazaire,https://www.data.gouv.fr/fr/datasets/morpho-sedimentologie-et-courants-de-maree-3d-de-la-zone-eolien-pose-de-saint-nazaire/,4511f7cf-2c63-4d68-b81b-4195513a40c9,Nature des sédiments,2014-07-29T13:11:01.776000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
53d97ab6a3a729019f37e2b6,morpho-sedimentologie-et-courants-de-maree-3d-de-la-zone-eolien-pose-de-saint-nazaire,https://www.data.gouv.fr/fr/datasets/morpho-sedimentologie-et-courants-de-maree-3d-de-la-zone-eolien-pose-de-saint-nazaire/,4fcce548-f4f7-4303-9d1b-7085fb4f69ed,Courants de marée 3D,2014-07-29T13:10:55.334000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
53d97ab6a3a729019f37e2b6,morpho-sedimentologie-et-courants-de-maree-3d-de-la-zone-eolien-pose-de-saint-nazaire,https://www.data.gouv.fr/fr/datasets/morpho-sedimentologie-et-courants-de-maree-3d-de-la-zone-eolien-pose-de-saint-nazaire/,5aa15f32-64c3-4fe1-a0d5-9b718f011553,Bathymétrie haute résolution Saint Nazaire,2014-07-29T13:10:48.377000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56f001ba88ee387581908574,production-delectricite-par-epci-en-bretagne,https://www.data.gouv.fr/fr/datasets/production-delectricite-par-epci-en-bretagne/,4bc8f36c-058a-4e8e-9a90-acc92c9630d9,Prod_electricite_OREGES (export SHP/WGS-84),2020-01-24T13:16:23.221000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56f001ba88ee387581908574,production-delectricite-par-epci-en-bretagne,https://www.data.gouv.fr/fr/datasets/production-delectricite-par-epci-en-bretagne/,4c322a62-8516-4edc-8da4-703e68082ed3,Prod_electricite_OREGES (export GeoJSON),2020-01-24T13:16:23.221000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56f001ba88ee387581908574,production-delectricite-par-epci-en-bretagne,https://www.data.gouv.fr/fr/datasets/production-delectricite-par-epci-en-bretagne/,c99d056a-b2fe-4901-976a-0fcc54440684,Prod_electricite_OREGES (export SHP/WGS-84),2020-01-24T13:16:23.220000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
56f001ba88ee387581908574,production-delectricite-par-epci-en-bretagne,https://www.data.gouv.fr/fr/datasets/production-delectricite-par-epci-en-bretagne/,050e004b-3050-4b03-9956-7b7de2d529da,Prod_electricite_OREGES (export GeoJSON),2020-01-24T13:16:23.219000,wrong-file-format,,3 - search request,False,False,False,False,,,False,False,False
