coll_nom,coll_siret,nature de la plage,plage en régie,COLL_NOM,COLL_SIRET,NOM,STATUT,REGIE,NUMERO_VOIE,NOM_VOIE,CODE_POSTAL,LIEU,ACCES_HANDICAP,LABEL_ HANDIPLAGE,EQUIPEMENTS,KIOSQUE VENTE A EMPORTER,INTERNET,DAT_DER_MAJ,last_modified,datagouv_resource_id,Geo Point,Geo Shape,Code Officiel Région,Code Officiel Département,Code Officiel Commune / Arrondissement Municipal,Code Officiel IRIS,Année,Type,Qualité du géocodage,Description,Catégorie,Nom Officiel Région,Nom Officiel Département,Nom Officiel EPCI,Nom Officiel Commune / Arrondissement Municipal,Code Iso 3166-3 Zone,Code Officiel EPCI
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0542919052,1.42224049838","{""type"": ""MultiPoint"", ""coordinates"": [[1.422240498381011, 50.05429190524108]]}",28,76,76255,762550103,2019,A304,Bonne,École de conduite,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0484661803,1.42055355146","{""type"": ""MultiPoint"", ""coordinates"": [[1.420553551463947, 50.048466180285395]]}",28,76,76255,762550101,2019,B315,Bonne,Magasin de matériel médical et orthopédique,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0580617102,1.41405010411","{""type"": ""MultiPoint"", ""coordinates"": [[1.414050104112909, 50.058061710202274]]}",28,76,76255,762550103,2019,A302,Bonne,Contrôle technique automobile,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0474973425,1.41911869443","{""type"": ""MultiPoint"", ""coordinates"": [[1.41911869442581, 50.04749734250604]]}",28,76,76255,762550101,2019,B203,Bonne,Boulangerie,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0530552025,1.42510028496","{""type"": ""MultiPoint"", ""coordinates"": [[1.425100284957658, 50.05305520252335]]}",28,76,76255,762550103,2019,A301,Bonne,Réparation automobile et de matériel agricole,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0432224225,1.42033743829","{""type"": ""MultiPoint"", ""coordinates"": [[1.420337438287948, 50.04322242248502]]}",28,76,76255,762550102,2019,A301,Bonne,Réparation automobile et de matériel agricole,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0461564939,1.42068040802","{""type"": ""MultiPoint"", ""coordinates"": [[1.420680408023815, 50.046156493918396]]}",28,76,76255,762550101,2019,A404,Bonne,Plombier couvreur chauffagiste,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0577098117,1.41774786416","{""type"": ""MultiPoint"", ""coordinates"": [[1.417747864164563, 50.05770981168964]]}",28,76,76255,762550103,2019,A303,Bonne,Location auto-utilitaires légers,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0500362854,1.41979381085","{""type"": ""MultiPoint"", ""coordinates"": [[1.419793810852188, 50.05003628541535]]}",28,76,76255,762550101,2019,D301,Bonne,Pharmacie,Santé,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0463117321,1.41776150564","{""type"": ""MultiPoint"", ""coordinates"": [[1.417761505644218, 50.046311732089364]]}",28,76,76255,762550101,2019,A404,Bonne,Plombier couvreur chauffagiste,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
