COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL,last_modified,datagouv_resource_id,VOTE_ABSTENTION 
SIEEEN,25580118500018,081.BS.2019,2019-11-29,7.6,finances locales/Contributions budgétaires,Soutien au focntionnement de l'agence locale de l'énergie et du climat de la Nièvre,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,080.BS.2019,2019-11-29,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Candidature à l'appel à projet à manifestation d'intérêt (AMI) cohérent efficace et durable pour la rénovation énergétique (CEDRE) programme action des collectivités territoriales pour l'éfficacité énergtique (ACTTE) soutenu par la FNCCR.,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,079.BS.2019,2019-11-29,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Convention de prestations de service,2019/2021,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-11,21,13,13,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,092.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes patrimoine énergies,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,093.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes régie réseaux  de chaleur,2020,RRC - REGIE RESEAUX DE CHALEUR,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,094.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes réseaux éclairage publics,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,095.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes autres réseaux,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,112.CS.2019,2019-12-14,8.4,domaines de compétences par thèmes/Aménagement du territoire,Gpt cdes regional ac instal exploit bornes recharge vehicules électriques,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,111.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",NE Garantie emprunt,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,110.CS.2019,2019-12-14,4.1,fonction publique/Personnels titulaires et stagiaires de la F.P.T,Cr2ation d'un oste d'animation coordination du contrat de transition écologique (CTE) NIEVRE LIGERIENNE,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
