dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,resource_found_by,initial_version_name,organization_or_owner,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_0.2.2,is_valid_v_0.2.3,is_valid_v_0.3.0,is_valid_v_0.3.1,is_valid_one_version,most_recent_valid_version
58aef65dc751df62466f39da,Véloroutes et Voies Vertes dans le département des Vosges,veloroutes-et-voies-vertes-dans-le-departement-des-vosges,https://www.data.gouv.fr/fr/datasets/veloroutes-et-voies-vertes-dans-le-departement-des-vosges/,0c18bd39-db20-4b58-a7bb-57d45d87cefa,N_3V_SEGMENT_L_088.TAB (export GeoJSON),https://transcode.geo.data.gouv.fr/links/5e2a20e4fa4268bc256e94ee/downloads/5e55c3b45b29cb4fe57b35fa?format=GeoJSON&projection=WGS84,2020-02-28T06:42:15.388000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
58aef65dc751df62466f39da,Véloroutes et Voies Vertes dans le département des Vosges,veloroutes-et-voies-vertes-dans-le-departement-des-vosges,https://www.data.gouv.fr/fr/datasets/veloroutes-et-voies-vertes-dans-le-departement-des-vosges/,65d27f0c-5afb-4a18-933f-e5092c049c95,N_3V_SEGMENT_L_088.TAB (archive),https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-26/5e55c3b45b29cb4fe57b35fa/datasetaggregate-1582678962681.zip/d562ef0f-802e-4f96-b37b-fc8bb999e3aa/n-3v-segment-l-088.zip,2020-02-28T06:42:15.387000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
58aef65dc751df62466f39da,Véloroutes et Voies Vertes dans le département des Vosges,veloroutes-et-voies-vertes-dans-le-departement-des-vosges,https://www.data.gouv.fr/fr/datasets/veloroutes-et-voies-vertes-dans-le-departement-des-vosges/,49cf0bbc-5296-4419-9570-ff3180dc84ea,N_3V_SERVICE_P_088.TAB (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a20e4fa4268bc256e94ee/downloads/5e55c3b45b29cb184c7b35fe?format=SHP&projection=WGS84,2020-02-28T06:42:15.387000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
58aef65dc751df62466f39da,Véloroutes et Voies Vertes dans le département des Vosges,veloroutes-et-voies-vertes-dans-le-departement-des-vosges,https://www.data.gouv.fr/fr/datasets/veloroutes-et-voies-vertes-dans-le-departement-des-vosges/,6ae40088-c553-4e51-9f58-9360a346baad,N_3V_SERVICE_P_088.TAB (export GeoJSON),https://transcode.geo.data.gouv.fr/links/5e2a20e4fa4268bc256e94ee/downloads/5e55c3b45b29cb184c7b35fe?format=GeoJSON&projection=WGS84,2020-02-28T06:42:15.386000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
58aef65dc751df62466f39da,Véloroutes et Voies Vertes dans le département des Vosges,veloroutes-et-voies-vertes-dans-le-departement-des-vosges,https://www.data.gouv.fr/fr/datasets/veloroutes-et-voies-vertes-dans-le-departement-des-vosges/,6023da17-852c-4594-95fb-f49f1d6cff96,N_3V_SERVICE_P_088.TAB (archive),https://files.geo.data.gouv.fr/link-proxy/atom.geo-ide.developpement-durable.gouv.fr/2020-02-26/5e55c3b45b29cb184c7b35fe/datasetaggregate-1582678962681.zip/fd0041a9-07f0-4982-8760-e7d2c31a10d9/n-3v-service-p-088.zip,2020-02-28T06:42:15.385000,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5eab9f4b7ee4582b405f11df,Comptage vélo - Compteurs,comptage-velo-compteurs,https://www.data.gouv.fr/fr/datasets/comptage-velo-compteurs/,0577d81a-c342-4371-99db-adb345edb8da,Export au format Shapefile,https://opendata.paris.fr/explore/dataset/comptage-velo-compteurs/download?format=shp&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T04:50:04,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5eab9f4b7ee4582b405f11df,Comptage vélo - Compteurs,comptage-velo-compteurs,https://www.data.gouv.fr/fr/datasets/comptage-velo-compteurs/,b85ddb2a-d35c-4ecd-b2bb-cee6b0ce80bd,Export au format GeoJSON,https://opendata.paris.fr/explore/dataset/comptage-velo-compteurs/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T04:50:04,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5eab9f4b7ee4582b405f11df,Comptage vélo - Compteurs,comptage-velo-compteurs,https://www.data.gouv.fr/fr/datasets/comptage-velo-compteurs/,a43ccf26-0c36-4ef3-a39c-3cbbd7d6de06,Export au format JSON,https://opendata.paris.fr/explore/dataset/comptage-velo-compteurs/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T04:50:04,,3 - search request,,mairie-de-paris,False,False,False,False,False,False,False,False,
5eab9f4b7ee4582b405f11df,Comptage vélo - Compteurs,comptage-velo-compteurs,https://www.data.gouv.fr/fr/datasets/comptage-velo-compteurs/,a590fa5a-e3a0-4f00-ab56-4e17478e9d05,Export au format CSV,https://opendata.paris.fr/explore/dataset/comptage-velo-compteurs/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T04:50:04,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
5dfc47919ce2e75741f3a0cf,Comptage vélo - Données compteurs,comptage-velo-donnees-compteurs,https://www.data.gouv.fr/fr/datasets/comptage-velo-donnees-compteurs/,dc57eca6-7961-4580-97c3-6abf0ea4e758,Export au format GeoJSON,https://opendata.paris.fr/explore/dataset/comptage-velo-donnees-compteurs/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2021-10-03T06:26:30,wrong-file-format,3 - search request,,,False,False,False,False,False,False,False,False,
