dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,organization_or_owner,resource_found_by,initial_version_name,is_valid_v_1.0.1,is_valid_v_1.0.2,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,082e771e-b566-43ba-bf1f-156c03304a42,DAE le-Passage-D'Agen (47520),https://admin.aedmap.org/media/upload/defibmap_326_47520.csv,2019-08-26T13:15:13.976000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,883bf2e5-0465-411a-bdac-c197df7079da,DAE Mareil-le-Guyon (78490),https://admin.aedmap.org/media/upload/defibmap_461_78490.csv,2019-10-22T03:00:36.536000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,046389f4-56f4-492c-a785-02cded828de8,DAE Orgerus (78910),https://admin.aedmap.org/media/upload/defibmap_458_78910.csv,2019-10-22T03:00:34.459000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,ba05e634-dabb-4fca-8b3b-880ecdc1cb4a,DAE Trescleoux (05700),https://admin.aedmap.org/media/upload/defibmap_422_05700.csv,2020-03-25T02:00:03.193000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,0b05675f-9f4e-455d-9dee-0f0afb0382fb,DAE Vouhenans (70200),https://admin.aedmap.org/media/upload/defibmap_360_70200.csv,2019-08-26T19:10:02.787000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,11e06668-538e-4042-b57b-1f1c221bda0a,DAE Plaisir (78370),https://admin.aedmap.org/media/upload/defibmap_454_78370.csv,2021-03-10T02:00:03.084000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,62524762-22b8-4e58-b7ca-e4af75e28b76,DAE La-Grande-Motte (34280),https://admin.aedmap.org/media/upload/defibmap_265_34280.csv,2020-07-10T03:00:02.007000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,d10eca5c-eb3a-4c1c-80d2-879e58554a8e,DAE Oyonnax (01100),https://admin.aedmap.org/media/upload/defibmap_685_01100.csv,2020-08-26T03:00:02.252000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,83e93162-1070-45bb-bcc0-8521d2577122,DAE Tergnier (02700),https://admin.aedmap.org/media/upload/defibmap_678_02700.csv,2021-07-22T03:00:03.607000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,866defae-1f51-43a8-adf6-7982bb3e8577,DAE Oppedette (04110),https://admin.aedmap.org/media/upload/defibmap_612_04110.csv,2020-03-21T02:00:05.603000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,54c47ac5-17c6-47b7-b4e3-371ac50be2e0,DAE Vachères (04110),https://admin.aedmap.org/media/upload/defibmap_621_04110.csv,2020-03-21T02:00:10.030000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,f7eadb97-3814-4149-b400-a698379965de,DAE Redortiers (04150),https://admin.aedmap.org/media/upload/defibmap_618_04150.csv,2020-03-21T02:00:08.505000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,53ea883d-959c-4dea-860c-83d72bdb1a14,DAE Simiane-la-Rotonde (04150),https://admin.aedmap.org/media/upload/defibmap_628_04150.csv,2020-03-21T02:00:13.549000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,8ca83d89-3d7c-40da-a79e-b455d6d89c51,DAE Allons (04170),https://admin.aedmap.org/media/upload/defibmap_610_04170.csv,2020-03-21T02:00:04.131000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,ab3c3a2d-2840-46b0-af27-c862e26591df,DAE Villeneuve (04180),https://admin.aedmap.org/media/upload/defibmap_639_04180.csv,2020-08-04T03:00:03.037000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,e8fdaccd-fd45-456a-9bc5-f5996dcedc83,DAE Aubignosc (04200),https://admin.aedmap.org/media/upload/defibmap_635_04200.csv,2020-03-21T02:00:14.286000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,6d887083-6dc2-495b-9ce9-4874ff912cba,DAE Peipin (04200),https://admin.aedmap.org/media/upload/defibmap_622_04200.csv,2020-03-21T02:00:10.772000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,8e3ae06a-dd8f-448e-a7d2-9dc79a0ecc93,DAE Saint-Germier (79340),https://admin.aedmap.org/media/upload/defibmap_522_79340.csv,2019-08-26T12:55:55.437000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,c7551359-6dbc-4a05-9587-0f1c95e12010,DAE Chassey-les-Scey (70360),https://admin.aedmap.org/media/upload/defibmap_355_70360.csv,2019-08-26T13:19:35.875000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,65306493-468c-4d75-b838-3ca423c7974c,DAE Neuville-Lès-Lœuilly (80160),https://admin.aedmap.org/media/upload/defibmap_552_80160.csv,2019-08-26T12:55:46.859000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
5cab2eef8b4c4125a3cb570b,Défibrillateurs Publics,defibrillateurs-publics,https://demo.data.gouv.fr/fr/datasets/defibrillateurs-publics/,401644be-b6be-422f-8997-34678815f497,DAE Saint-Raphaël (83700),https://admin.aedmap.org/media/upload/defibmap_696_83700.csv,2021-08-19T03:00:04.719000,,aedmap-france,3 - search request,,False,False,False,,False,False,False,False,,,arsante/schema-dae,False,False,False
