dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_v_0.2.0,is_valid_v_0.2.1,is_valid_v_1.0.0,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
56f272f988ee38631ff07b04,Enjeux linéaires pris en compte dans un plan de prévention des risques - AZERGUES,enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-azergues,https://demo.data.gouv.fr/fr/datasets/enjeux-lineaires-pris-en-compte-dans-un-plan-de-prevention-des-risques-azergues/,7a7b9072-8312-48a5-aa7c-7288d791168c,n_enjeu_pprn_20030004_l_069 (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/services/5e2a1f8ffa4268bc2560456d/feature-types/ms:n_enjeu_pprn_20030004_l_069?format=SHP&projection=WGS84,2020-01-24T13:15:31.917000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a1f1c751df2201d962e9,Enjeux ponctuels pris en compte dans un plan de prévention des risques - YZERON,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://demo.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,3161e81d-1175-47dd-8934-d381fb0fea57,n_enjeu_pprn_2007002_p_069 (export GeoJSON),https://transcode.geo.data.gouv.fr/services/5e2a1f8ffa4268bc2560456d/feature-types/ms:n_enjeu_pprn_2007002_p_069?format=GeoJSON&projection=WGS84,2020-01-24T12:52:59.103000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a1f1c751df2201d962e9,Enjeux ponctuels pris en compte dans un plan de prévention des risques - YZERON,enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron,https://demo.data.gouv.fr/fr/datasets/enjeux-ponctuels-pris-en-compte-dans-un-plan-de-prevention-des-risques-yzeron/,e517e81b-0dbf-4229-a58c-bfef948b4757,n_enjeu_pprn_2007002_p_069 (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/services/5e2a1f8ffa4268bc2560456d/feature-types/ms:n_enjeu_pprn_2007002_p_069?format=SHP&projection=WGS84,2020-01-24T12:52:59.104000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a19d88ee3828e67aaf8e,Enjeux surfaciques pris en compte dans un plan de prévention des risques - OZON,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://demo.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,1ba8f304-263e-462f-b267-f6ac94240f11,n_enjeu_pprn_19980002_s_069.tab (archive),https://files.geo.data.gouv.fr/link-proxy/catalogue.datara.gouv.fr/2020-01-24/5e2a63bad0975e091d5629bc/file.zip/telechargement-1521004170-1257/n-enjeu-pprn-19980002-s-069-1521004170-7846/n-enjeu-pprn-19980002-s-069.zip,2020-01-24T12:53:06.173000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a19d88ee3828e67aaf8e,Enjeux surfaciques pris en compte dans un plan de prévention des risques - OZON,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://demo.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,f2aea728-f8a2-4050-a0be-ee1a5735ddf0,n_enjeu_pprn_19980002_s_069.tab (export GeoJSON),https://transcode.geo.data.gouv.fr/links/5e2a1ff7fa4268bc25658a5b/downloads/5e2a63bad0975e091d5629bc?format=GeoJSON&projection=WGS84,2020-01-24T12:53:06.174000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a19d88ee3828e67aaf8e,Enjeux surfaciques pris en compte dans un plan de prévention des risques - OZON,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://demo.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,ebae4f2b-d2c4-411b-9a44-39eda5f03a9e,n_enjeu_pprn_19980002_s_069.tab (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a1ff7fa4268bc25658a5b/downloads/5e2a63bad0975e091d5629bc?format=SHP&projection=WGS84,2020-01-24T12:53:06.175000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a19d88ee3828e67aaf8e,Enjeux surfaciques pris en compte dans un plan de prévention des risques - OZON,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://demo.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,640a4540-ffcf-4d4a-83f4-78f51f4fe7ba,n_enjeu_pprn_19980002_s_069.shp (archive),https://files.geo.data.gouv.fr/link-proxy/catalogue.datara.gouv.fr/2020-01-24/5e2a63bad0975e85465629be/file.zip/telechargement-1521004171-1837/n-enjeu-pprn-19980002-s-069-1521004171-3606/n-enjeu-pprn-19980002-s-069.zip,2020-01-24T12:53:06.176000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a19d88ee3828e67aaf8e,Enjeux surfaciques pris en compte dans un plan de prévention des risques - OZON,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://demo.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,aa547480-2129-4ec7-9003-8e254dc8bbef,n_enjeu_pprn_19980002_s_069.shp (export GeoJSON),https://transcode.geo.data.gouv.fr/links/5e2a1ff7fa4268bc25658a5b/downloads/5e2a63bad0975e85465629be?format=GeoJSON&projection=WGS84,2020-01-24T12:53:06.178000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a19d88ee3828e67aaf8e,Enjeux surfaciques pris en compte dans un plan de prévention des risques - OZON,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://demo.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,eec7b3d4-6679-476c-aa0d-48acdd7f39e2,n_enjeu_pprn_19980002_s_069.shp (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a1ff7fa4268bc25658a5b/downloads/5e2a63bad0975e85465629be?format=SHP&projection=WGS84,2020-01-24T12:53:06.178000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
5a09a19d88ee3828e67aaf8e,Enjeux surfaciques pris en compte dans un plan de prévention des risques - OZON,enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon,https://demo.data.gouv.fr/fr/datasets/enjeux-surfaciques-pris-en-compte-dans-un-plan-de-prevention-des-risques-ozon/,4e682682-6706-4256-95e6-3ce6621aca2f,2015_01_22_CONDITIONS_MAD_UTI_DONNEES.pdf,https://files.geo.data.gouv.fr/link-proxy/catalogue.datara.gouv.fr/2020-01-24/5e2a63bad0975e12a85629c3/file.zip/telechargement-1521004175-8184/2015-01-22-conditions-mad-uti-donnees.pdf,2020-01-24T12:53:06.179000,,wrong-file-format,3 - search request,,False,False,False,False,False,,False,False,False,False,,,etalab/schema-stationnement-cyclable,False,False,False
