dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_v_0.1.1,is_valid_v_0.1.2,is_valid_v_0.1.3,is_valid_v_0.1.4,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,c096aa7e-c0ea-45be-b641-cf5ddfbe0c99,20201125-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20201125-113521/20201125-bnls.csv,2020-11-25T11:35:26.277000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,2da08040-2074-499a-8d50-0bf5b4254a86,20201222-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20201222-135318/bnls-.csv,2020-12-22T17:21:47.781000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,7140761a-5fc8-4c80-af43-529bc4d7ac5e,20201224-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20201224-092931/20201224-bnls.csv,2020-12-24T09:30:33.151000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,a7a64ce5-e858-4fef-9abb-8cdbb44bb7d5,20210101-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20210101-120908/20210101.csv,2021-01-22T14:21:17.651000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,23f1ecca-7e01-449b-868d-fbed986d9fba,20210115-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20210125-094448/20210115-bnls.csv,2021-01-25T09:44:53.238000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,7fa48e98-bd80-4a62-a88e-05487799cc15,20210420-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20210420-120242/bnls.csv,2021-04-27T11:12:22.812000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,3763a280-4086-492d-85de-c02abd9018f2,20210427-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20210427-111233/bnls.csv,2021-04-27T11:13:47.831000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,5519b35d-e900-467c-956a-6d183e5db70c,20200925-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20201125-102021/20200925-bnls-2-.csv,2020-11-25T10:20:31.295000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
600fe3d30f3e90e9515d201f,Parkings enclos ou ouvrage à Chambéry,parkings-enclos-ou-ouvrage-a-chambery-1,https://demo.data.gouv.fr/fr/datasets/parkings-enclos-ou-ouvrage-a-chambery-1/,17683e1f-b35d-4c81-bd98-884a9a06a40e,Export au format GeoJSON,https://donnees.grandchambery.fr/explore/dataset/parkings-enclos-ou-ouvrage-a-chambery_v2/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2020-07-30T15:05:38.572000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
600fe3d30f3e90e9515d201f,Parkings enclos ou ouvrage à Chambéry,parkings-enclos-ou-ouvrage-a-chambery-1,https://demo.data.gouv.fr/fr/datasets/parkings-enclos-ou-ouvrage-a-chambery-1/,a39c1cd9-dc02-47dd-ad44-1a5837afc6ee,Export au format Shapefile,https://donnees.grandchambery.fr/explore/dataset/parkings-enclos-ou-ouvrage-a-chambery_v2/download?format=shp&timezone=Europe/Berlin&use_labels_for_header=false,2020-07-30T15:05:38.572000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,,False,,False,False,False,,,etalab/schema-stationnement,False,False,False
