dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5f220dde679b3514416dcf09,Les 10 plus hautes rémunérations de 2018 à 2020 des agents de la Région Hauts-de-France,les-10-plus-hautes-remunerations-de-2018-a-2020-des-agents-de-la-region-hauts-de-france,https://demo.data.gouv.fr/fr/datasets/les-10-plus-hautes-remunerations-de-2018-a-2020-des-agents-de-la-region-hauts-de-france/,8eedf1df-1019-495a-9e2d-f377d3b49b0c,Top 10 des rémunérations,https://opendata.hautsdefrance.fr/sites/default/files/top10remuneration.csv,2021-03-11T00:00:00,region-hauts-de-france,,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
60a5a913c46f599e3e7a1e4b,Les 10 plus hautes rémunérations de la Région des Pays de la Loire,les-10-plus-hautes-remunerations-de-la-region-des-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/les-10-plus-hautes-remunerations-de-la-region-des-pays-de-la-loire/,26c3fa03-0795-443b-954d-950ed212fe43,Export au format JSON,https://paysdelaloire.opendatasoft.com/explore/dataset/close-data-10-plus-importantes-remunerations-region-pays-de-la-loire/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-05-18T09:46:09.380000,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
60a5a913c46f599e3e7a1e4b,Les 10 plus hautes rémunérations de la Région des Pays de la Loire,les-10-plus-hautes-remunerations-de-la-region-des-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/les-10-plus-hautes-remunerations-de-la-region-des-pays-de-la-loire/,00adeeaf-426b-43a1-8b63-e342a09635e4,Export au format CSV,https://paysdelaloire.opendatasoft.com/explore/dataset/close-data-10-plus-importantes-remunerations-region-pays-de-la-loire/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-05-18T09:46:09.380000,region-des-pays-de-la-loire,,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
5fcd70f393abc3100943096a,Dix plus hautes rémunérations en 2019 des agents de la région Bourgogne - Franche - Comté,dix-plus-hautes-remunerations-en-2019-des-agents-de-la-region-bourgogne-franche-comte,https://demo.data.gouv.fr/fr/datasets/dix-plus-hautes-remunerations-en-2019-des-agents-de-la-region-bourgogne-franche-comte/,801666fe-b0af-4652-a7ae-647d35ed0942,Page de présentation Site internet officiel,https://www.bourgognefranchecomte.fr/ladministration-de-la-region-bourgogne-franche-comte,2020-11-27T00:00:00,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
5fcd70f393abc3100943096a,Dix plus hautes rémunérations en 2019 des agents de la région Bourgogne - Franche - Comté,dix-plus-hautes-remunerations-en-2019-des-agents-de-la-region-bourgogne-franche-comte,https://demo.data.gouv.fr/fr/datasets/dix-plus-hautes-remunerations-en-2019-des-agents-de-la-region-bourgogne-franche-comte/,d851dc9b-cf1a-477e-a49c-96f16d0cd2bf,Référence législative du Journal officiel n° 2019-828 du 6 août 2019 de transformation de la fonction publique,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000038889182,2020-12-06T00:00:00,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
5fcd70f393abc3100943096a,Dix plus hautes rémunérations en 2019 des agents de la région Bourgogne - Franche - Comté,dix-plus-hautes-remunerations-en-2019-des-agents-de-la-region-bourgogne-franche-comte,https://demo.data.gouv.fr/fr/datasets/dix-plus-hautes-remunerations-en-2019-des-agents-de-la-region-bourgogne-franche-comte/,08cddd3f-a7d0-4577-9808-5f3b0aac6751,tableur excel,https://www.bourgognefranchecomte.fr/sites/default/files/2020-06/remunerations.xls,2020-11-27T00:00:00,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
5f0d1fc8ff462cdb2a6dcf0a,Dix plus hautes rémunérations,dix-plus-hautes-remunerations,https://demo.data.gouv.fr/fr/datasets/dix-plus-hautes-remunerations/,bc453872-ff3c-4d9d-abdd-6a899cae7e6e,Export au format JSON,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-en-dix-plus-hautes-remunerations/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-28T04:00:05.363000,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
5f0d1fc8ff462cdb2a6dcf0a,Dix plus hautes rémunérations,dix-plus-hautes-remunerations,https://demo.data.gouv.fr/fr/datasets/dix-plus-hautes-remunerations/,350efeac-245a-405a-8384-143866552806,Export au format CSV,https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-en-dix-plus-hautes-remunerations/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-28T04:00:05.363000,enseignement-superieur-et-recherche,,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
5f0d2ddd9878699fefd05ffd,Dix plus hautes rémunérations,dix-plus-hautes-remunerations-1,https://demo.data.gouv.fr/fr/datasets/dix-plus-hautes-remunerations-1/,540f23b1-39db-4063-beee-b89add076071,Export au format JSON,https://data.education.gouv.fr/explore/dataset/fr-en-dix-plus-hautes-remunerations/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-28T07:06:03,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
5f0d2ddd9878699fefd05ffd,Dix plus hautes rémunérations,dix-plus-hautes-remunerations-1,https://demo.data.gouv.fr/fr/datasets/dix-plus-hautes-remunerations-1/,25f1635e-b292-463d-999c-a4f0940564de,Export au format CSV,https://data.education.gouv.fr/explore/dataset/fr-en-dix-plus-hautes-remunerations/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-28T07:06:03,education-nationale,,3 - search request,,False,False,,False,False,False,False,,,etalab/schema-hautes-remunerations,False,False,False
