dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_1.1.0,is_valid_v_2.0.0,is_valid_v_2.0.1,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
60bdf0ac3fb013906f98dfc6,Liste des structures validées par le comité de sélection (Conseiller Numérique France Service),liste-des-structures-validees-par-le-comite-de-selection-conseiller-numerique-france-service,https://demo.data.gouv.fr/fr/datasets/liste-des-structures-validees-par-le-comite-de-selection-conseiller-numerique-france-service/,bd1f484e-235b-43dd-88c2-83a76092cb08,20210715-3316-cnfs.ods,https://static.data.gouv.fr/resources/liste-des-structures-validees-par-le-comite-de-selection-conseiller-numerique-france-service/20210727-000240/20210715-3316-cnfs.ods,2021-07-27T00:02:46.159000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5878ee80a3a7291484cac82a,Réserve parlementaire 2011 attribuée aux collectivités territoriales,r-serve-parlementaire-2011-attribu-e-aux-collectivit-s-territoriales,https://demo.data.gouv.fr/fr/datasets/r-serve-parlementaire-2011-attribu-e-aux-collectivit-s-territoriales/,4e937b37-91a9-4dd2-b1ec-93176d4bbe14,Réserve parlementaire collectivités territoriales 2011 CSV/UTF-8,http://www.regardscitoyens.org/wp-content/uploads/reserve-parlementaire-2011-parletdep-utf8.csv,2017-07-10T06:06:05.026000,nosdonnees-fr,,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5da1184906e3e726d829a306,Opération Habitat Qualité - Aides financières aux travaux,operation-habitat-qualite-aides-financieres-aux-travaux,https://demo.data.gouv.fr/fr/datasets/operation-habitat-qualite-aides-financieres-aux-travaux/,63996528-2720-44c1-b99b-0cacbfe008d8,Export au format CSV,https://data.seineouest.fr/explore/dataset/ohq-aides-financieres-aux-travaux/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2020-09-02T05:02:01,grand-paris-seine-ouest,,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5878ee80a3a7291484cac82a,Réserve parlementaire 2011 attribuée aux collectivités territoriales,r-serve-parlementaire-2011-attribu-e-aux-collectivit-s-territoriales,https://demo.data.gouv.fr/fr/datasets/r-serve-parlementaire-2011-attribu-e-aux-collectivit-s-territoriales/,38b16dbf-d6b9-45a5-a0ff-4696e02583dc,Rue 89 - Données compilées par communes ,http://apps.rue89.com/reserve-parlementaire/reserve_parlementaire.ods,2017-07-10T06:06:05.027000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5df4611206e3e734303c0992,Répartition des opérateurs par commune pour les aides à l'habitat du Département de Loire-Atlantique,repartition-des-operateurs-par-commune-pour-les-aides-a-lhabitat-du-departement-de-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/repartition-des-operateurs-par-commune-pour-les-aides-a-lhabitat-du-departement-de-loire-atlantique/,85e56389-5497-4f9f-b9d3-51527c7ba066,Export au format JSON,https://data.loire-atlantique.fr/explore/dataset/224400028_repartition-operateurs-par-commune-pour-aides-habitat-loire-atlantique/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2019-01-14T11:22:10,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
53699f15a3a729239d206049,Réserve parlementaire 2011 attribuée aux collectivités territoriales,reserve-parlementaire-2011-attribuee-aux-collectivites-territoriales-nd,https://demo.data.gouv.fr/fr/datasets/reserve-parlementaire-2011-attribuee-aux-collectivites-territoriales-nd/,ae547679-a4be-4b24-aa38-ef8bf573a71d,Réserve parlementaire collectivités territoriales 2011 CSV/UTF-8,http://www.regardscitoyens.org/wp-content/uploads/reserve-parlementaire-2011-parletdep-utf8.csv,2014-03-20T16:28:41.605000,nosdonnees-fr,,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
60bdf0ac3fb013906f98dfc6,Liste des structures validées par le comité de sélection (Conseiller Numérique France Service),liste-des-structures-validees-par-le-comite-de-selection-conseiller-numerique-france-service,https://demo.data.gouv.fr/fr/datasets/liste-des-structures-validees-par-le-comite-de-selection-conseiller-numerique-france-service/,3b71dd70-965b-4ac3-a8d3-2ebd2e79c9e3,20210728-3370-cnfs.csv,https://static.data.gouv.fr/resources/liste-des-structures-validees-par-le-comite-de-selection-conseiller-numerique-france-service/20210802-172045/20210728-3370-cnfs.csv,2021-08-02T17:21:58.453000,agence-nationale-de-la-cohesion-des-territoires,,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5df4611206e3e734303c0992,Répartition des opérateurs par commune pour les aides à l'habitat du Département de Loire-Atlantique,repartition-des-operateurs-par-commune-pour-les-aides-a-lhabitat-du-departement-de-loire-atlantique,https://demo.data.gouv.fr/fr/datasets/repartition-des-operateurs-par-commune-pour-les-aides-a-lhabitat-du-departement-de-loire-atlantique/,e5ade967-cd79-477c-b7fe-ab6055b63af2,Export au format CSV,https://data.loire-atlantique.fr/explore/dataset/224400028_repartition-operateurs-par-commune-pour-aides-habitat-loire-atlantique/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2019-01-14T11:22:10,departement-de-loire-atlantique,,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5df4610406e3e734303c0991,Opérateurs partenaires du Département de Loire-Atlantique pour les demandes d’aide à l’habitat,operateurs-partenaires-du-departement-de-loire-atlantique-pour-les-demandes-daide-a-lhabitat,https://demo.data.gouv.fr/fr/datasets/operateurs-partenaires-du-departement-de-loire-atlantique-pour-les-demandes-daide-a-lhabitat/,bb79ee65-d4b5-48c6-9856-ed049c432fd3,Export au format JSON,https://data.loire-atlantique.fr/explore/dataset/224400028_operateurs_aides-habitat-loire-atlantique/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2019-01-14T11:22:10,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5df4610406e3e734303c0991,Opérateurs partenaires du Département de Loire-Atlantique pour les demandes d’aide à l’habitat,operateurs-partenaires-du-departement-de-loire-atlantique-pour-les-demandes-daide-a-lhabitat,https://demo.data.gouv.fr/fr/datasets/operateurs-partenaires-du-departement-de-loire-atlantique-pour-les-demandes-daide-a-lhabitat/,0ca714d6-4e70-453e-939d-c93504626141,Export au format CSV,https://data.loire-atlantique.fr/explore/dataset/224400028_operateurs_aides-habitat-loire-atlantique/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2019-01-14T11:22:10,departement-de-loire-atlantique,,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5da118499ce2e74b8452078d,Logements sociaux financés par GPSO,logements-sociaux-finances-par-gpso,https://demo.data.gouv.fr/fr/datasets/logements-sociaux-finances-par-gpso/,975617a8-ee0b-4f3a-b549-c6ce95a5dde0,Export au format JSON,https://data.seineouest.fr/explore/dataset/logements-sociaux-finances-par-gpso/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2020-09-02T05:00:20,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
5da118499ce2e74b8452078d,Logements sociaux financés par GPSO,logements-sociaux-finances-par-gpso,https://demo.data.gouv.fr/fr/datasets/logements-sociaux-finances-par-gpso/,4043d185-3809-4bdf-b664-a3cff42ccbf5,Export au format CSV,https://data.seineouest.fr/explore/dataset/logements-sociaux-finances-par-gpso/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2020-09-02T05:00:20,grand-paris-seine-ouest,,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,12c05894-a16f-4647-a1be-ba1b8c527e04,r_geothermie_p_r52 (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/services/5e2a1f0cfa4268bc2559fc34/feature-types/ms:r_geothermie_p_r52?format=SHP&projection=WGS84,2021-01-24T06:38:44.775000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,f15470e2-075a-438f-be1c-d0370301c026,r_geothermie_p_r52 (export GeoJSON),https://transcode.geo.data.gouv.fr/services/5e2a1f0cfa4268bc2559fc34/feature-types/ms:r_geothermie_p_r52?format=GeoJSON&projection=WGS84,2021-01-24T06:38:44.775000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,655afd68-bec0-42be-b407-6d1b757eeaae,nrj_s.png,https://files.geo.data.gouv.fr/link-proxy/catalogue.sigloire.fr/2020-11-10/5fa9e6756a9fcb66f2f4a384/file.zip/telechargement-1604279013-8817/eef16337-fd9e-40a1-a794-af4315fc6990-1604279013-3961/export-full-metadata.zip/95127bca-7246-498a-8319-f06e298d9026/public/nrj-s.png,2021-01-24T06:38:44.774000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,5324e6b3-549d-402e-9b4e-3f08efa2ed0f,108834_small_95472.png,https://files.geo.data.gouv.fr/link-proxy/catalogue.sigloire.fr/2020-11-10/5fa9e6756a9fcb2e48f4a382/file.zip/telechargement-1604279013-8648/eef16337-fd9e-40a1-a794-af4315fc6990-1604279013-2844/export-full-metadata.zip/eef16337-fd9e-40a1-a794-af4315fc6990/public/108834-small-95472.png,2021-01-24T06:38:44.774000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,cfa894e6-30dc-4d61-92aa-432569503c85,108834_large_41160.png,https://files.geo.data.gouv.fr/link-proxy/catalogue.sigloire.fr/2020-11-10/5fa9e6756a9fcb19c4f4a385/file.zip/telechargement-1604279013-8648/eef16337-fd9e-40a1-a794-af4315fc6990-1604279013-2844/export-full-metadata.zip/eef16337-fd9e-40a1-a794-af4315fc6990/public/108834-large-41160.png,2021-01-24T06:38:44.774000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,78076b9f-efff-402a-a816-eba1ae4cfb9a,Patrimoine_de_donnees_des_services_de_ltat_en_Pays_de_la_Loire.pdf,https://files.geo.data.gouv.fr/link-proxy/catalogue.sigloire.fr/2020-11-10/5fa9e6746a9fcbda96f4a36c/file.zip/telechargement-1604279013-8648/eef16337-fd9e-40a1-a794-af4315fc6990-1604279013-2844/pdf-complet-r-geothermie-p-r52.zip/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/patrimoine-de-donnees-des-services-de-ltat-en-pays-de-la-loire.pdf,2021-01-24T06:38:44.774000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,4153ea94-23b8-4fcd-9904-cf5d97973058,Template_de_catalogue_dattributs.pdf,https://files.geo.data.gouv.fr/link-proxy/catalogue.sigloire.fr/2020-11-10/5fa9e6746a9fcbb997f4a370/file.zip/telechargement-1604279013-8648/eef16337-fd9e-40a1-a794-af4315fc6990-1604279013-2844/pdf-complet-r-geothermie-p-r52.zip/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/template-de-catalogue-dattributs.pdf,2021-01-24T06:38:44.773000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
56a1f6dfc751df4e2cade715,Installations géothermiques subventionnées par l'ADEME en Pays de la Loire,installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire,https://demo.data.gouv.fr/fr/datasets/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/,c57f9c82-d277-4abf-8e7b-b9afb003496c,Service_de_telechargement_simple_ATOM_de_la_plateforme_SIGLOIRE.pdf,https://files.geo.data.gouv.fr/link-proxy/catalogue.sigloire.fr/2020-11-10/5fa9e6746a9fcb90a6f4a36e/file.zip/telechargement-1604279013-8817/eef16337-fd9e-40a1-a794-af4315fc6990-1604279013-3961/pdf-complet-r-geothermie-p-r52.zip/installations-geothermiques-subventionnees-par-lademe-en-pays-de-la-loire/service-de-telechargement-simple-atom-de-la-plateforme-sigloire.pdf,2021-01-24T06:38:44.773000,,wrong-file-format,3 - search request,,False,False,False,False,,False,,False,False,False,,,scdl/subventions,False,False,False
