resource_found_by,error_type,total_nb_resources,is_valid_v_0.2.0,is_valid_one_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
3 - search request,no-error,8,0,0,0,0,0
3 - search request,wrong-file-format,20,0,0,0,0,0
