resource_found_by,error_type,total_nb_resources,is_valid_v_0.1.1,is_valid_one_version,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop
1 - schema request,no-error,1,0,0,0,0,1
1 - schema request,wrong-file-format,1,0,0,0,0,1
3 - search request,no-error,5,0,0,0,0,0
3 - search request,wrong-file-format,9,0,0,0,0,0
