dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,resource_found_by,initial_version_name,organization_or_owner,is_valid_v_1.0.2,is_valid_one_version,most_recent_valid_version,is_downloaded
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,b159484e-0624-43a2-a272-20cbbf717f22,export de la couche SIG de référence en Shape,https://datacat.datalocale.fr/file/416355/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3DSHAPE-ZIP,2017-10-01T06:08:33.575000,wrong-file-format,3 - search request,,,False,False,,False
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,0339771a-9f8e-4552-a65a-987845413d6c,export de la couche SIG de référence en geoJson,https://datacat.datalocale.fr/file/416357/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Djson,2017-10-01T06:08:33.574000,wrong-file-format,3 - search request,,,False,False,,False
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,0cfe4807-8ea7-473c-8292-d29428abdd72,export de la couche SIG de référence en KML,https://datacat.datalocale.fr/file/416361/raw/odt_det_pdipr.kmz,2017-10-01T06:08:33.573000,wrong-file-format,3 - search request,,,False,False,,False
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,817b62af-0db5-441c-b8cb-b78ba9db67cb,export de la couche SIG de référence en Shape,https://datacat.datalocale.fr/file/416355/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3DSHAPE-ZIP,2017-09-30T06:18:41.490000,wrong-file-format,3 - search request,,,False,False,,False
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,d9e17bac-be87-4f98-b739-66b7b19303ed,export de la couche SIG de référence en geoJson,https://datacat.datalocale.fr/file/416357/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Djson,2017-09-30T06:18:41.490000,wrong-file-format,3 - search request,,,False,False,,False
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,6b2ee6d9-a792-48f0-8e07-4ca7f9137926,export de la couche SIG de référence en KML,https://datacat.datalocale.fr/file/416361/raw/odt_det_pdipr.kmz,2017-09-30T06:18:41.490000,wrong-file-format,3 - search request,,,False,False,,False
59cf1b21b59508043de9b89d,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr-1/,2abf5bb9-741c-44ba-98a2-8637960d4513,export de la couche SIG de référence en csv,https://datacat.datalocale.fr/file/416359/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Dcsv,2017-09-30T06:18:41.489000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,2210cda3-24da-49a9-a7b7-a55449462d20,export de la couche SIG de référence en Shape,https://datacat.datalocale.fr/file/416355/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3DSHAPE-ZIP,2017-09-29T07:52:35.153000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,6e3fd334-bc0e-4231-800a-ef20313efec3,export de la couche SIG de référence en csv,https://datacat.datalocale.fr/file/416359/raw/ows%3Fservice%3DWFS%26version%3D1.0.0%26request%3DGetFeature%26typeName%3Dodt_det_pdipr%26outputFormat%3Dcsv,2017-09-29T07:52:35.153000,wrong-file-format,3 - search request,,,False,False,,False
59592392a3a7291dd09c81c5,Plan départemental des itinéraires de promenades et de randonnées (PDIPR),plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr,https://www.data.gouv.fr/fr/datasets/plan-departemental-des-itineraires-de-promenades-et-de-randonnees-pdipr/,7a980c8b-a5fa-4e38-995a-99f9649a2301,export de la couche SIG de référence en KML,https://datacat.datalocale.fr/file/416361/raw/odt_det_pdipr.kmz,2017-09-29T07:52:35.152000,wrong-file-format,3 - search request,,,False,False,,False
