dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_1.1.0,is_valid_v_2.0.0,is_valid_v_2.1.0,is_valid_v_2.1.1,is_valid_v_2.1.2,is_valid_v_2.1.3,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,is_empty,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,47f6e07b-297b-4443-a8e2-b370efef2155,2019-18-d-webencheres.pdf,2020-02-11T16:30:48.789000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,9d78bb87-2ff2-403e-a1ab-1a47d4175575,2019-19-d-accroisssaisonnieraa.pdf,2020-02-11T16:31:01.413000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,9725e2d8-59e0-45cb-b130-94f09acc72b8,2019-20-d-accroisssaisonnierattache.pdf,2020-02-11T16:31:07.373000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,448ca7b2-4d86-4a64-9758-011470ffe98f,2019-21-d-accroisssaisonniering.pdf,2020-02-11T16:31:37.065000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,97ee8b01-0ef4-4731-b598-2e3ecfd289eb,2019-23-d-accroisssaisonniertech.pdf,2020-02-11T16:31:58.661000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,04c8167c-5274-4fdd-9fe0-cff81d24ecda,2019-22-d-accroisssaisonnierred.pdf,2020-02-11T16:32:13.221000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,6e65bbbe-6c5c-47a7-a6f4-71384764a2af,2019-24-d-accroisstempactivaa.pdf,2020-02-11T16:32:47.749000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,2a22fed6-b92f-4330-bbb2-0d0142204f7f,2019-25-d-accroisstempactivattache.pdf,2020-02-11T16:32:57.705000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,621e506b-c043-4217-bd20-335d59022758,2019-26-d-accroisstempactiving.pdf,2020-02-11T16:33:19.825000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
5e42c807634f4125899acbd1,deliberations-2019-1,https://demo.data.gouv.fr/fr/datasets/deliberations-2019-1/,d8665725-c53a-4a45-92b5-711bc8e9b608,2019-27-d-accroisstempactivredacteur.pdf,2020-02-11T16:33:52.353000,,wrong-file-format,3 - search request,,False,False,False,False,False,False,False,,False,False,False,False,,,scdl/deliberations,False,False,False
