dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,error_type,organization_or_owner,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_v_0.1.1,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,is_empty,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,76c9a6de-59a7-4cc6-a494-577bac9fe677,liste-csv-meubles-classes-cdt47.csv,2017-09-11T06:14:33.693000,,ressourcerie-datalocale-1,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,56b5817a-28b0-4195-a69f-8bc80a62d4d2,extraction en xml (tourinfo) de la liste des meublés classés des Pyrennés Atlantiques référencées dans la base de donnes SIRTAQUI. les coordonnées géographiques sont exprimées en wgs84,2017-09-11T06:14:33.693000,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,73edcb5a-6488-4c07-be00-5e8c32cafdf4,spécifications du jeu de données,2017-09-11T06:14:33.694000,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,bc6d0ad2-dca5-40d6-b61c-a5c2321a87da,liste-csv-meubles-classes-cdt24.csv,2017-09-11T06:14:33.694000,,ressourcerie-datalocale-1,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,b1a69822-64dd-43aa-bc22-5cea14320047,liste-csv-meubles-labellises-cdt33.csv,2017-09-11T06:14:33.695000,,ressourcerie-datalocale-1,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,17a0ca7f-9383-4d2a-bec3-94c6a29ffa20,extraction en xml (tourinfo) de la liste des meublés classés du Lot-et-Garonne référencés dans la base de donnes SIRTAQUI. les coordonnées géographiques sont exprimées en wgs84,2017-09-11T06:14:33.695000,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becea3a72968e28772f4,liste-des-monuments-historiques-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-monuments-historiques-classes-en-aquitaine/,b88ce3a0-c703-4ba6-b3e0-794a7209eb7b,export en csv (utf-8) des liste monuments historiques classés référencés dans la base de données de SIRTAQUI. Les coordonnées géographiques sont exprimées dans la projection WGS84,2017-06-06T16:40:14.293000,,ressourcerie-datalocale-1,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,115858b5-9c58-4378-90ae-e9d0e87e7266,extraction en xml (tourinfo) de la liste des meublés classés de Dordogne référencées dans la base de donnes SIRTAQUI. les coordonnées géographiques sont exprimées en wgs84,2017-09-11T06:14:33.696000,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,61bae2a2-f87c-4c32-b3a8-4c2b8296dcfe,export en csv (utf-8) des meublés classés du Lot-et-Garonne référencés dans la base de données de SIRTAQUI. Les coordonnées géographiques sont exprimées dans la projection WGS84,2017-09-11T06:14:33.697000,,ressourcerie-datalocale-1,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
5936becba3a72968e28772f2,liste-des-meubles-classes-en-aquitaine,https://demo.data.gouv.fr/fr/datasets/liste-des-meubles-classes-en-aquitaine/,26fd1e85-ce5d-4739-a21d-1519368a6d78,consommation des données temps réel,2017-09-11T06:14:33.697000,wrong-file-format,,3 - search request,,False,False,False,,False,False,False,False,,,scdl/equipements,False,False,False
