siretAcheteur,urlProfilAcheteur,urlDCAT,coordonnees,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
21560103000012,https://marches.megalis.bretagne.bzh,,COMMUNE DE LANTILLAC 56120 LANTILLAC,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21560247500018,https://marches.megalis.bretagne.bzh,,COMMUNE DE SULNIAC 56250 SULNIAC,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
25220049800019,https://marches.megalis.bretagne.bzh,,SI D'EAU ET ASSAINISSEMENT KERNEVEC 22220 TREGUIER,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21220285700018,https://marches.megalis.bretagne.bzh,,COMMUNE DE SAINT CONNEC 22530 SAINT-CONNEC,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
26350361700015,https://marches.megalis.bretagne.bzh,,CTRE COM ACTION SOCIALE DE BAGUER MORVAN 35120 BAGUER-MORVAN,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21220223800011,https://marches.megalis.bretagne.bzh,,COMMUNE DE PLOUISY 22200 PLOUISY,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
25350135700011,https://marches.megalis.bretagne.bzh,,SI DE REGROUPEMENT SCOLAIRE DES ETS D ENSEIGNEMENT PRIVES DE BRUC SUR AFF LIEURON 35550 BRUC-SUR-AFF,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
26350347600016,https://marches.megalis.bretagne.bzh,,CENTRE COMMUNAL D'ACTION SOCIALE 35750 IFFENDIC,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21350289100012,https://marches.megalis.bretagne.bzh,,COMMUNE DE SAINT MALO DE PHILY 35480 SAINT-MALO-DE-PHILY,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21350132300017,https://marches.megalis.bretagne.bzh,,COMMUNE DE HIREL 35120 HIREL,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21220076000016,https://marches.megalis.bretagne.bzh,,COMMUNE DE HENANBIHEN 22550 HENANBIHEN,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21560168300018,https://marches.megalis.bretagne.bzh,,COMMUNE DE PLOUHARNEL 56340 PLOUHARNEL,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21290067400012,https://marches.megalis.bretagne.bzh,,COMMUNE DE GUERLESQUIN 29650 GUERLESQUIN,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21350354300018,https://marches.megalis.bretagne.bzh,,COMMUNE DE VIEUX VIEL 35610 VIEUX-VIEL,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21290248000012,https://marches.megalis.bretagne.bzh,,COMMUNE DE SAINT FREGANT 29260 SAINT-FREGANT,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21290183900010,https://marches.megalis.bretagne.bzh,,COMMUNE DE PLOUEGAT MOYSAN 29650 PLOUEGAT-MOYSAN,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
25350018500025,https://marches.megalis.bretagne.bzh,,SYND INTERCOMMUNAL DES EAUX DE LA FORET DU THEIL 35150 JANZE,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21350180200010,https://marches.megalis.bretagne.bzh,,COMMUNE DE MINIAC SOUS BECHEREL 35190 MINIAC-SOUS-BECHEREL,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
21560091700011,https://marches.megalis.bretagne.bzh,,COMMUNE DE JOSSELIN 56120 JOSSELIN,2021-09-07T10:00:08.561000,5bcdc37a634f41327d733c29,b94e8cf1-1e92-4e59-a8b7-9740f75b9053,megalis-bretagne
