n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilité,observations,date_maj,last_modified,datagouv_resource_id,Numéro pdc,Numéro station,accessibilitÃ©
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*81,IZIVIA Grand Lyon | Lyon 3 | Duguesclin - Les halles,"175, Rue Duguesclin, Lyon",69123,4.8483973,45.763361,4,FR*GLY*ELYON*81*4*1,7,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*5,IZIVIA Grand Lyon | Charly | Parking Malpas,"Parking Malpas, Charly",69046,4.795381,45.652114,4,FR*GLY*ELYON*5*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*5,IZIVIA Grand Lyon | Charly | Parking Malpas,"Parking Malpas, Charly",69046,4.795381,45.652114,4,FR*GLY*ELYON*5*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*5,IZIVIA Grand Lyon | Charly | Parking Malpas,"Parking Malpas, Charly",69046,4.795381,45.652114,4,FR*GLY*ELYON*5*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*29,IZIVIA Grand Lyon | Charbonnières-les-Bains | Place Marsonnat,"Parking Place Marsonnat, Charbonnières-les-Bains",69044,4.734441,45.785288,4,FR*GLY*ELYON*29*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*29,IZIVIA Grand Lyon | Charbonnières-les-Bains | Place Marsonnat,"Parking Place Marsonnat, Charbonnières-les-Bains",69044,4.734441,45.785288,4,FR*GLY*ELYON*29*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*47,IZIVIA Grand Lyon | Francheville | Place de l'Europe,"Place de l'Europe, Francheville",69089,4.773797,45.738293,4,FR*GLY*ELYON*47*1*1,24,Combo - ChaDeMo,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*5,IZIVIA Grand Lyon | Charly | Parking Malpas,"Parking Malpas, Charly",69046,4.795381,45.652114,4,FR*GLY*ELYON*5*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*47,IZIVIA Grand Lyon | Francheville | Place de l'Europe,"Place de l'Europe, Francheville",69089,4.773797,45.738293,4,FR*GLY*ELYON*47*1*2,22,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*31,IZIVIA Grand Lyon | Lyon | Place Bir-Hakeim,"Face au 12 Place Bir-Hakeim, Lyon",69123,4.854840,45.752910,4,FR*GLY*ELYON*31*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*53,IZIVIA Grand Lyon | Lyon | Place de l'Abbé Larue,"Place de l'Abbé Larue, Lyon",69123,4.819514,45.755467,4,FR*GLY*ELYON*53*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*53,IZIVIA Grand Lyon | Lyon | Place de l'Abbé Larue,"Place de l'Abbé Larue, Lyon",69123,4.819514,45.755467,4,FR*GLY*ELYON*53*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*53,IZIVIA Grand Lyon | Lyon | Place de l'Abbé Larue,"Place de l'Abbé Larue, Lyon",69123,4.819514,45.755467,4,FR*GLY*ELYON*53*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*53,IZIVIA Grand Lyon | Lyon | Place de l'Abbé Larue,"Place de l'Abbé Larue, Lyon",69123,4.819514,45.755467,4,FR*GLY*ELYON*53*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*31,IZIVIA Grand Lyon | Lyon | Place Bir-Hakeim,"Face au 12 Place Bir-Hakeim, Lyon",69123,4.854840,45.752910,4,FR*GLY*ELYON*31*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*31,IZIVIA Grand Lyon | Lyon | Place Bir-Hakeim,"Face au 12 Place Bir-Hakeim, Lyon",69123,4.854840,45.752910,4,FR*GLY*ELYON*31*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*31,IZIVIA Grand Lyon | Lyon | Place Bir-Hakeim,"Face au 12 Place Bir-Hakeim, Lyon",69123,4.854840,45.752910,4,FR*GLY*ELYON*31*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*70,IZIVIA Grand Lyon | Lyon | Marietton,"70 Rue Marietton, Lyon",69123,4.800152,45.776037,2,FR*GLY*ELYON*70*1*2,43,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*37,IZIVIA Grand Lyon | Lyon | Jean Jaurès,"4, rue Marie-Madeleine Fourcade, Lyon",69123,4.837835,45.737199,4,FR*GLY*ELYON*37*1*1,24,Combo - ChaDeMo,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*70,IZIVIA Grand Lyon | Lyon | Marietton,"70 Rue Marietton, Lyon",69123,4.800152,45.776037,2,FR*GLY*ELYON*70*1*1,50,Combo - ChaDeMo,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*24,IZIVIA Grand Lyon | Lyon | Joliot Curie - Les Battières,"96 Rue Joliot Curie, Lyon",69123,4.782994,45.754439,4,FR*GLY*ELYON*24*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*24,IZIVIA Grand Lyon | Lyon | Joliot Curie - Les Battières,"96 Rue Joliot Curie, Lyon",69123,4.782994,45.754439,4,FR*GLY*ELYON*24*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*24,IZIVIA Grand Lyon | Lyon | Joliot Curie - Les Battières,"96 Rue Joliot Curie, Lyon",69123,4.782994,45.754439,4,FR*GLY*ELYON*24*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*24,IZIVIA Grand Lyon | Lyon | Joliot Curie - Les Battières,"96 Rue Joliot Curie, Lyon",69123,4.782994,45.754439,4,FR*GLY*ELYON*24*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*37,IZIVIA Grand Lyon | Lyon | Jean Jaurès,"4, rue Marie-Madeleine Fourcade, Lyon",69123,4.837835,45.737199,4,FR*GLY*ELYON*37*2*2,22,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*37,IZIVIA Grand Lyon | Lyon | Jean Jaurès,"4, rue Marie-Madeleine Fourcade, Lyon",69123,4.837835,45.737199,4,FR*GLY*ELYON*37*1*2,22,T2,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
