id_lieu,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
35162-C-029,Place du 8 mai 45,Place du 8 mai 45,Louvigné-du-Désert,35162,Aire de covoiturage,2021-06-08,true,110002011,-1.12147015171582,48.4800711301505,126,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35167-C-258,Echangeur Sud,Avenue du Général de Gaulle,MARTIGNE-FERCHAUD,35167,Aire de covoiturage,2021-06-08,true,110002011,-1.32166233409256,47.8201144600246,,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35167-C-273,Saint-Morand,Echangeur de Saint-Morand,MARTINE-FERCHAUD,35167,Aire de covoiturage,2021-06-08,true,110002011,-1.27719355160516,47.7995094491553,,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35168-C-163,Bellevue,Bellevue,Maure-de-Bretagne,35168,Aire de covoiturage,2021-06-08,true,110002011,-1.9911113350743,47.9085381690682,20,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35169-C-283,Maxent,,MAXENT,35169,Aire de covoiturage,2021-06-08,true,110002011,-2.03042301192006,47.9823578974396,,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35173-C-063,Salle polyvalente,Rue de Montreuil,Melesse,35173,Aire de covoiturage,2021-06-08,true,110002011,-1.69770433916455,48.2196439130764,40,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35174-C-242,Parking de la Rue Rouviel,6 Rue Rouviel,MELLE,35174,Aire de covoiturage,2021-06-08,true,110002011,-1.18793889504592,48.4884238023017,,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35207-C-166,Espace Nominoë,Rue Julien Neveu,Noyal-sur-Vilaine,35207,Aire de covoiturage,2021-06-08,true,110002011,-1.52818191449501,48.1110706956896,100,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35176-C-039,Z.I Courbouton,Z.I Coubouton,GUIPRY-MESSAC,35176,Aire de covoiturage,2021-06-08,true,110002011,-1.90697156369629,47.8361577552141,50,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35179-C-054,La Costardais,Parking de la gare,Miniac-Morvan,35179,Aire de covoiturage,2021-06-08,true,110002011,-1.91460933166711,48.5312607537301,45,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35184-C-107,Rue de Dinan,Rue de Dinan,MONTAUBAN-DE-BRETAGNE,35184,Aire de covoiturage,2021-06-08,true,110002011,-2.04743866675572,48.2052820828051,28,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35192-C-247,MONTREUIL DES LANDES,,MONTREUIL DES LANDES,35192,Aire de covoiturage,2021-06-08,true,110002011,-1.22416046819579,48.2477201779127,40,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35197-C-069,Les Vergers,Les Vergers,Mouazé,35197,Aire de covoiturage,2021-06-08,true,110002011,-1.62444947139616,48.2095991129775,20,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35198-C-089,Parking de la Mairie,rue de la Metrie,Moulins,35198,Aire de covoiturage,2021-06-08,true,110002011,-1.37190399623665,48.0019845301957,15,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35206-C-165,Rue Lavoisier,Rue Lavoisier,Noyal-Châtillon-sur-Seiche,35206,Aire de covoiturage,2021-06-08,true,110002011,-1.68343790083127,48.0390009762016,18,1,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35243-C-032,ZA des estuaires,ZA des estuaires,Romagné,35243,Aire de covoiturage,2021-06-08,true,110002011,-1.2901130011969,48.3422443323359,70,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35252-C-091,Les Lacs,Gare des Lacs,Saint-Aubin des Landes,35252,Aire de covoiturage,2021-06-08,true,110002011,-1.32097331590942,48.1087032099211,0,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35152-C-161,La Reposée,Rue de Rennes,Liffré,35152,Aire de covoiturage,2021-06-08,true,110002011,-1.52641333319941,48.2022667465807,15,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35340-C-233,Parc activités La Gare,,Treffendel,35340,Aire de covoiturage,2021-06-08,true,110002011,-2.0132269000696,48.0292110578874,13,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35332-C-184,Debussy - Chardonnay,Place Debussy-Chadonnay,Teillay,35332,Aire de covoiturage,2021-06-08,true,110002011,-1.53937933250262,47.806637088671,40,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35333-C-185,Bourg neuf,Bourg neuf,Le Theil-de-Bretagne,35333,Aire de covoiturage,2021-06-08,true,110002011,-1.41908166743692,47.9196450810922,35,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35333-C-186,La Sablonnière,Proche de la D41 Rennes-Angers mais pas située directement sur l'échangeur. Sur la D47 entre le bourg de Retiers et l'échangeur.,LE THEIL-DE-BRETAGNE,35333,Aire de covoiturage,2021-06-08,true,110002011,-1.39652366715846,47.9094800829679,30,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35334-C-187,Porte de Tizé,Porte de Tizé - rocade Est,Thorigné-Fouillard,35334,Aire de covoiturage,2021-06-08,true,110002011,-1.57978266609838,48.1407829144053,24,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35335-C-188,Rue de la Libération,Place Pierre et Marie Curie,Thourie,35335,Aire de covoiturage,2021-06-08,true,110002011,-1.47938466661554,47.8534317542724,40,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35337-C-189,Les Vairies,Echangeur D137 / route de Saint-Thual,Tinténiac,35337,Aire de covoiturage,2021-06-08,true,110002011,-1.85252366550939,48.3246904140841,30,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35338-C-080,Montigné,Echangeur Montigné,Torcé,35338,Aire de covoiturage,2021-06-08,true,110002011,-1.27117300600675,48.0741724162472,100,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35346-C-251,Aire de covoiturage de Trimer,Le Bourg,TRIMER,35346,Aire de covoiturage,2021-06-08,true,110002011,-1.89299452427182,48.3407432108368,,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35326-C-072,Croix Couverte,Rue Philippe de Volvire,Sens-de-Bretagne,35326,Aire de covoiturage,2021-06-08,true,110002011,-1.52762191380769,48.3311404465509,30,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35350-C-285,Vergéal,Rue de la Mairie,VERGEAL,35350,Aire de covoiturage,2021-06-08,true,110002011,-1.26399729323663,48.0362102583358,,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35352-C-190,Les Orgeries,Les Orgeries,Vern-sur-Seiche,35352,Aire de covoiturage,2021-06-08,true,110002011,-1.60558191626882,48.044337937779,50,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35356-C-074,Le Bas Champ,Le Bas Champ,Vignoc,35356,Aire de covoiturage,2021-06-08,true,110002011,-1.77293423227139,48.2509743532731,31,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35357-C-036,Place Vincent Van Gogh,Place Vincent Van Gogh,Villamée,35357,Aire de covoiturage,2021-06-08,true,110002011,-1.22080977457693,48.4605459039419,60,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35360-C-081,Parc d'activités La Baratière,PA La Baratière,Vitré,35360,Aire de covoiturage,2021-06-08,true,110002011,-1.21606233176827,48.1094985026484,100,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
44067-C-049,Prairie du Don,Rue Saint-Jean,Guéméné Penfao,44067,Aire de covoiturage,2021-06-08,true,110002011,-1.83403390008421,47.6276433139795,0,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
44128-C-050,Etang de Plessé,Etang de Plessé,Plessé,44128,Aire de covoiturage,2021-06-08,true,110002011,-1.88734414464865,47.5388595995147,10,1,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35327-C-183,Gare,Halte SNCF,Servon-sur-Vilaine,35327,Aire de covoiturage,2021-06-08,true,110002011,-1.4654497106746,48.1117743941165,50,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35319-C-182,Cossinade,Cossinade,Saint-Thurial,35319,Aire de covoiturage,2021-06-08,true,110002011,-1.9279816304331,48.0453020051789,15,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35253-C-115,La Mottais,ZA de la Mottais,SAINT-AUBIN-DU-CORMIER,35253,Aire de covoiturage,2021-06-08,true,110002011,-1.41356166719094,48.2590837504216,96,1,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35278-C-180,Rue d'Ouessant,Rue d'Ouessant,Saint-Grégoire,35278,Aire de covoiturage,2021-06-08,true,110002011,-1.68842967730149,48.1573243086521,15,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
