id,name,postal_code,commune,numero,voie,lieu_dit,code_insee,siret,contact_url,site_internet,longitude,latitude,transport_station_presence,stationnement_presence,stationnement_pmr,stationnement_ext_presence,stationnement_ext_pmr,cheminement_ext_presence,cheminement_ext_ascenseur,entree_ascenseur,accueil_cheminement_ascenseur,cheminement_ext_terrain_accidente,cheminement_ext_plain_pied,cheminement_ext_nombre_marches,cheminement_ext_reperage_marches,cheminement_ext_sens_marches,cheminement_ext_main_courante,cheminement_ext_rampe,cheminement_ext_pente_presence,cheminement_ext_pente_degre_difficulte,cheminement_ext_pente_longueur,cheminement_ext_devers,cheminement_ext_bande_guidage,cheminement_ext_retrecissement,entree_reperage,entree_vitree,entree_vitree_vitrophanie,entree_plain_pied,entree_marches,entree_marches_reperage,entree_marches_main_courante,entree_marches_rampe,entree_marches_sens,entree_dispositif_appel,entree_dispositif_appel_type,entree_balise_sonore,entree_aide_humaine,entree_largeur_mini,entree_pmr,entree_porte_presence,entree_porte_manoeuvre,entree_porte_type,accueil_visibilite,accueil_personnels,accueil_equipements_malentendants_presence,accueil_equipements_malentendants,accueil_cheminement_plain_pied,accueil_cheminement_nombre_marches,accueil_cheminement_reperage_marches,accueil_cheminement_main_courante,accueil_cheminement_rampe,accueil_cheminement_sens_marches,accueil_retrecissement,sanitaires_presence,sanitaires_adaptes,labels,labels_familles_handicap,registre_url,conformite,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
1719,Saint Christophe,59200,Tourcoing,,Rue Fidèle Lehoucq,,,32022964405241,https://fr.parkindigo.com/parking/tourcoing-59200/saint-christophe-59021600,https://fr.parkindigo.com/parking/tourcoing-59200/saint-christophe-59021600,3.16093464,50.7200526,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1714,Parking du Centre,59200,Tourcoing,,Rue de la Bienfaisance,,,32022964405241,https://fr.parkindigo.com/parking/tourcoing-59200/hotel-de-ville-59021400,https://fr.parkindigo.com/parking/tourcoing-59200/hotel-de-ville-59021400,3.15870819,50.72437177,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1713,Miss Cavell,59200,Tourcoing,,Avenue Salvador Allende,,,32022964405241,https://fr.parkindigo.com/parking/tourcoing-59200/miss-cavell-59021500,https://fr.parkindigo.com/parking/tourcoing-59200/miss-cavell-59021500,3.1630485,50.7216172,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1711,Les Tanneurs,59000,Lille,70,Rue du Molinel,,,32022964405241,https://fr.parkindigo.com/parking/lille-59000/les-tanneurs-59001100,https://fr.parkindigo.com/parking/lille-59000/les-tanneurs-59001100,3.06720484,50.63428788,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1710,Centre Commercial Pôle Marine,59140,Dunkerque,19,Rue des Fusiliers Marins,,,32022964405241,https://fr.parkindigo.com/parking/dunkerque-59140/centre-commercial-pole-marine-59011200,https://fr.parkindigo.com/parking/dunkerque-59140/centre-commercial-pole-marine-59011200,2.36910122,51.03291972,,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1709,Centre Ville,62100,Calais,33,Boulevard Jacquard,,,32022964405241,https://fr.parkindigo.com/parking/calais-62100/centre-ville-62020100,https://fr.parkindigo.com/parking/calais-62100/centre-ville-62020100,1.85526733,50.94852541,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1706,Gare du Midi,64200,Biarritz,12,Avenue François Mauriac,,,32022964405241,https://fr.parkindigo.com/parking/biarritz-64200/gare-du-midi-64000500,https://fr.parkindigo.com/parking/biarritz-64200/gare-du-midi-64000500,-1.5573884,43.4786118,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1705,Halles Clemenceau,64200,Biarritz,16,Avenue du Maréchal Foch,,,32022964405241,https://fr.parkindigo.com/parking/biarritz-64200/halles-clemenceau-64000300,https://fr.parkindigo.com/parking/biarritz-64200/halles-clemenceau-64000300,-1.55899072,43.48073874,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1704,Centre-Ville,64700,Hendaye,21,Rue de l'église,,,32022964405241,https://fr.parkindigo.com/parking/hendaye-64700/centre-ville-64030100,https://fr.parkindigo.com/parking/hendaye-64700/centre-ville-64030100,-1.774396,43.357538,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
1703,Bellevue,64200,Biarritz,15,Place Georges Clemenceau,,,32022964405241,https://fr.parkindigo.com/parking/biarritz-64200/bellevue-64000800,https://fr.parkindigo.com/parking/biarritz-64200/bellevue-64000800,-1.56046999,43.48220451,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
