dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_2.0.2,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
60f13987729ff6e375934955,ELECTRO MOB,electro-mob-18,https://www.data.gouv.fr/fr/datasets/electro-mob-18/,3e459c26-7c02-4025-9c79-ca57db4db1a2,etalab-schema-irve-la-bastide-d-eygalieres.csv,https://static.data.gouv.fr/resources/electro-mob-18/20210716-094754/etalab-schema-irve-la-bastide-d-eygalieres.csv,2021-07-16T09:48:12.206000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
605df739e1f8825c6f14cbee,ELECTRO-MOBILITY,electro-mobility-3,https://www.data.gouv.fr/fr/datasets/electro-mobility-3/,e7c7211a-097d-4654-aa63-8faea54e9620,etalab-schema-irve-spi-fermetures.csv,https://static.data.gouv.fr/resources/electro-mobility-3/20210326-162202/etalab-schema-irve-spi-fermetures.csv,2021-03-26T16:23:47.044000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60673bd708c080501a148993,Pullman Toulouse,pullman-toulouse,https://www.data.gouv.fr/fr/datasets/pullman-toulouse/,ac843faf-3be1-4d43-b69f-4e9f2caa8a66,pullmantoulouse-irve-stations.csv,https://static.data.gouv.fr/resources/pullman-toulouse/20210507-102254/pullmantoulouse-irve-stations.csv,2021-05-07T10:22:56.218000,zephyre,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
606579c88b20cc0e6f9a5c49,Airria,airria-1,https://www.data.gouv.fr/fr/datasets/airria-1/,a7171c9f-eb3b-4b96-9709-993522810144,airria-irve-stations.csv,https://static.data.gouv.fr/resources/airria-1/20210506-184023/airria-irve-stations.csv,2021-05-06T18:40:32.707000,zephyre,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6098df8d35e92886bc009239,ELECTRO-MOBILITY,electro-mobility-7,https://www.data.gouv.fr/fr/datasets/electro-mobility-7/,9d7c683f-fe5f-4432-890b-163499558415,etalab-schema-irve-solutys-technologies-copie.csv,https://static.data.gouv.fr/resources/electro-mobility-7/20210510-092406/etalab-schema-irve-solutys-technologies-copie.csv,2021-05-10T09:24:13.503000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
6098df8d35e92886bc009239,ELECTRO-MOBILITY,electro-mobility-7,https://www.data.gouv.fr/fr/datasets/electro-mobility-7/,a091124b-4c6a-4a72-8e00-908b00fb5ad9,etalab-schema-irve-modele-eep-marie-aux.csv,https://static.data.gouv.fr/resources/electro-mobility-7/20210510-112109/etalab-schema-irve-modele-eep-marie-aux.csv,2021-05-10T11:21:21.767000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60a2682179374f5e0372a97b,ELECTRO-MOBILITY,electro-mobility-8,https://www.data.gouv.fr/fr/datasets/electro-mobility-8/,85d4e170-dd22-4592-bc0e-870e9ec9835b,etalab-schema-irve-domaine-lanzac.csv,https://static.data.gouv.fr/resources/electro-mobility-8/20210517-151450/etalab-schema-irve-domaine-lanzac.csv,2021-05-17T15:15:04.396000,electro-mobility,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
608b2baeda588096b4778e25,Réseau de bornes de recharge MOBILYGREEN,reseau-de-bornes-de-recharge-mobilygreen,https://www.data.gouv.fr/fr/datasets/reseau-de-bornes-de-recharge-mobilygreen/,76fdb0c1-1d8c-4a43-a709-eb7eeb1d674e,mobilygreen_2021_04_29,https://static.data.gouv.fr/resources/reseau-de-bornes-de-recharge-mobilygreen/20210429-235709/liste-data-gouv.csv,2021-05-28T16:57:26.563000,mobilygreen,,1 - schema request,1.0.3,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
608b2baeda588096b4778e25,Réseau de bornes de recharge MOBILYGREEN,reseau-de-bornes-de-recharge-mobilygreen,https://www.data.gouv.fr/fr/datasets/reseau-de-bornes-de-recharge-mobilygreen/,c8d32a3e-d3ec-490e-904f-e48c9aa3eaa1,mobilygreen-2021-05-17.csv,https://static.data.gouv.fr/resources/reseau-de-bornes-de-recharge-mobilygreen/20210517-151901/mobilygreen-2021-05-17.csv,2021-05-28T16:57:26.409000,mobilygreen,,1 - schema request,1.0.3,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
608b2baeda588096b4778e25,Réseau de bornes de recharge MOBILYGREEN,reseau-de-bornes-de-recharge-mobilygreen,https://www.data.gouv.fr/fr/datasets/reseau-de-bornes-de-recharge-mobilygreen/,c9460bd6-e50b-4dd6-9851-75fccb228c7b,mobilygreen-2021-07-07.csv,https://static.data.gouv.fr/resources/reseau-de-bornes-de-recharge-mobilygreen/20210707-174218/mobilygreen-2021-07-07.csv,2021-07-07T17:43:38.768000,mobilygreen,,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
60c4b484098ecb70105ab69b,Liste place de recharge,liste-place-de-recharge,https://www.data.gouv.fr/fr/datasets/liste-place-de-recharge/,1b1fd985-46ae-4322-a439-46d93f517241,liste publique places 12 06 2021.csv,https://static.data.gouv.fr/resources/liste-place-de-recharge/20210612-152004/data.csv,2021-06-12T15:20:04.889000,e-nergyze,,1 - schema request,2.0.0,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
60c87cea8d6c2522821a1982,E. Leclerc Drive Anglet,e-leclerc-drive-anglet,https://www.data.gouv.fr/fr/datasets/e-leclerc-drive-anglet/,4b1d61a3-d862-4f8d-b6ec-adf2ce3df50e,Monfichier IRVE Leclerc Drive Anglet,https://static.data.gouv.fr/resources/e-leclerc-drive-anglet/20210615-121154/data.csv,2021-06-15T12:11:55.264000,enerstock,,1 - schema request,2.0.0,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
60d1f1c726bcd1b3811eb3d6,LA FERME DE LA MOTTE,la-ferme-de-la-motte,https://www.data.gouv.fr/fr/datasets/la-ferme-de-la-motte/,3714797b-1d86-4dee-ba5b-8047ec6eb210,LA FERME DE LA MOTTE,https://static.data.gouv.fr/resources/la-ferme-de-la-motte/20210622-162055/data.csv,2021-06-22T16:20:56.225000,ma-borne-auto,,1 - schema request,2.0.0,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
60d04ba06cc14b6e59b33eaf,Bornes SDE Creuse,bornes-sde-creuse,https://www.data.gouv.fr/fr/datasets/bornes-sde-creuse/,e79c87a5-2658-4fbd-93bf-7100036a24dc,SDIRVE SDE23,https://static.data.gouv.fr/resources/bornes-sde-creuse/20210621-101944/data.csv,2021-06-21T15:51:35.510000,thibault-prouin,,1 - schema request,,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
60d9fd5d16a5a0baef3f38aa,OVERCHEM ,overchem,https://www.data.gouv.fr/fr/datasets/overchem/,e77892c2-6ce5-40df-8750-30da06b581be,irve-overchem-20210628.csv,https://static.data.gouv.fr/resources/overchem/20210713-153305/irve-overchem-20210628.csv,2021-07-13T15:33:23.703000,overchem,,1 - schema request,,True,True,2.0.2,True,False,True,False,False,False,False,etalab/schema-irve,True,False,False
61001ab91ac47f6de7b666b4,Garage Loue Automobiles,garage-loue-automobiles,https://www.data.gouv.fr/fr/datasets/garage-loue-automobiles/,29abac20-053c-4b87-adaf-abfbffd2d222,garageloueautomobiles-irve-station.xlsx,https://static.data.gouv.fr/resources/garage-loue-automobiles/20210727-163957/garageloueautomobiles-irve-station.xlsx,2021-07-27T16:40:02.914000,,wrong-file-format,1 - schema request,,False,False,,False,,False,False,True,False,False,etalab/schema-irve,False,False,False
