dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,resource_found_by,initial_version_name,is_valid_v_1.0.1,is_valid_v_1.0.2,is_valid_v_1.0.3,is_valid_one_version,most_recent_valid_version
5f40ec67a2ba49c765f44964,Défibrillateurs automatiques externes issus d'OpenStreetMap,defibrillateurs-automatiques-externes-issus-dopenstreetmap,https://www.data.gouv.fr/fr/datasets/defibrillateurs-automatiques-externes-issus-dopenstreetmap/,e153b245-a704-422b-82c3-95eb6a296a0f,Défibrillateurs issus d'OpenStreetMap - Format CSV,https://geodatamine.fr/dump/aed_csv.zip,2021-09-24T11:34:30.663000,wrong-file-format,1 - schema request,,False,False,False,False,
5f40ec67a2ba49c765f44964,Défibrillateurs automatiques externes issus d'OpenStreetMap,defibrillateurs-automatiques-externes-issus-dopenstreetmap,https://www.data.gouv.fr/fr/datasets/defibrillateurs-automatiques-externes-issus-dopenstreetmap/,7fc336dd-a6fd-4629-9992-5f72efc369b2,Défibrillateurs issus d'OpenStreetMap - Format GeoJSON,https://geodatamine.fr/dump/aed_geojson.zip,2021-09-24T11:34:36.723000,wrong-file-format,1 - schema request,,False,False,False,False,
