dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,error_type,organization_or_owner,resource_found_by,initial_version_name,is_valid_v_0.8.1,is_valid_one_version,most_recent_valid_version
5d1bf3b09ce2e7231ef50c0d,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2015,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2015,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2015/,f98b6d1a-996b-4d9d-a589-5d7bd8d3bc38,Export au format JSON,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec2/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2019-07-02T09:47:21.823000,wrong-file-format,,3 - search request,,False,False,
5d1bf3b09ce2e7231ef50c0d,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2015,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2015,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2015/,2a3be7f0-6e90-4578-b5bb-3192b62086f3,Export au format CSV,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec2/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2019-07-02T09:47:21.823000,,ministere-de-leconomie-des-finances-et-de-la-relance,3 - search request,,False,False,
5d1bf3e59ce2e72140f50c0d,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2012,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012/,842de667-3501-4180-afff-7f8b71b980dc,BalanceSPL_Fonction_2012_Juin2019.zip,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec5/attachments/balancespl_fonction_2012_juin2019_zip,2019-07-02T15:57:11.390000,wrong-file-format,,3 - search request,,False,False,
5d1bf3e59ce2e72140f50c0d,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2012,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012/,b4fcc41f-2de5-4444-bd71-13a233744c11,StructureFichierBalFonctionD_2012à2016.ods,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec5/attachments/structurefichierbalfonctiond_2012a2016_ods,2019-07-02T15:57:11.390000,wrong-file-format,,3 - search request,,False,False,
5d1bf3e59ce2e72140f50c0d,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2012,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012/,7e767963-c541-439a-aa0c-8e50b0ff49f4,Notice_ balance_fonctionnelle.pdf,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec5/attachments/notice_balance_fonctionnelle_pdf,2019-07-02T15:57:11.390000,wrong-file-format,,3 - search request,,False,False,
5d1bf3e59ce2e72140f50c0d,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2012,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012/,6810a388-6879-40a7-8ab8-df684e654619,Export au format JSON,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec5/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2019-07-02T15:57:11.390000,wrong-file-format,,3 - search request,,False,False,
5d1bf3e59ce2e72140f50c0d,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2012,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2012/,9c777f70-25e4-42b2-acaf-1d5c768adbbc,Export au format CSV,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec5/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2019-07-02T15:57:11.390000,,ministere-de-leconomie-des-finances-et-de-la-relance,3 - search request,,False,False,
5f07b12a803503502a6dcf09,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2019,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019/,8de81f93-879d-4d7c-9f84-8fcf22c4225f,StructureBalFonctionD2019_Dec2020.ods,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec6/attachments/structurebalfonctiond2019_dec2020_ods,2020-12-18T13:36:49.862000,wrong-file-format,,3 - search request,,False,False,
5f07b12a803503502a6dcf09,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2019,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019/,3a42f79a-7d91-4276-99ec-6c5907f47e7f,BalanceSPL_Fonction_2019_Dec2020.zip,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec6/attachments/balancespl_fonction_2019_dec2020_zip,2020-12-18T13:36:49.862000,wrong-file-format,,3 - search request,,False,False,
5f07b12a803503502a6dcf09,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2019,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019/,31e4b689-1186-42fa-977a-8956c1a5b537,BalanceSPL_Fonction_2019_Juil2020.zip,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec6/attachments/balancespl_fonction_2019_juil2020_zip,2020-07-09T21:33:51.921000,wrong-file-format,,3 - search request,,False,False,
5f07b12a803503502a6dcf09,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2019,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019/,7ac1d7b6-cabb-49cb-ae14-cf9147e48990,StructureBalFonctionD2019_Juil2020.ods,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec6/attachments/structurebalfonctiond2019_juil2020_ods,2020-07-09T21:33:51.921000,wrong-file-format,,3 - search request,,False,False,
5f07b12a803503502a6dcf09,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2019,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019/,1142cfd1-b1ab-4eb9-b539-603d258d33a8,Notice_ balance_fonctionnelle.pdf,https://data.economie.gouv.fr/api/datasets/1.0/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec6/attachments/notice_balance_fonctionnelle_pdf,2020-12-18T13:36:49.862000,wrong-file-format,,3 - search request,,False,False,
5f07b12a803503502a6dcf09,Balances comptables des collectivités et des établissements publics locaux avec la présentation croisée nature-fonction 2019,balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019,https://www.data.gouv.fr/fr/datasets/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec-la-presentation-croisee-nature-fonction-2019/,67a48598-232c-4974-bd67-c3647f5893a8,Export au format CSV,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-collectivites-et-des-etablissements-publics-locaux-avec6/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2020-12-18T13:36:49.862000,,ministere-de-leconomie-des-finances-et-de-la-relance,3 - search request,,False,False,
55f18eec88ee383a1fa46ec5,"ALPC partiel : Délégataires de compétence ""aides à la pierre""",alpc-partiel-delegataires-de-competence-aides-a-la-pierre,https://www.data.gouv.fr/fr/datasets/alpc-partiel-delegataires-de-competence-aides-a-la-pierre/,4cd3a05d-6b72-4b52-b974-803ef64034ee,L_DLG_AIDE_PIERRE_COM_S_R75_A.shp (export SHP/WGS-84),https://transcode.geo.data.gouv.fr/links/5e2a2109fa4268bc257018e1/downloads/5e40ad6869749ef5528350a7?format=SHP&projection=WGS84,2020-02-29T06:58:55.574000,wrong-file-format,,3 - search request,,False,False,
