siretAcheteur,urlProfilAcheteur,urlDCAT,coordonnees,last_modified,datagouv_resource_id
21220223800011,https://marches.megalis.bretagne.bzh,null,COMMUNE DE PLOUISY 22200 PLOUISY,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
25350135700011,https://marches.megalis.bretagne.bzh,null,SI DE REGROUPEMENT SCOLAIRE DES ETS D ENSEIGNEMENT PRIVES DE BRUC SUR AFF LIEURON 35550 BRUC-SUR-AFF,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
26350347600016,https://marches.megalis.bretagne.bzh,null,CENTRE COMMUNAL D'ACTION SOCIALE 35750 IFFENDIC,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350289100012,https://marches.megalis.bretagne.bzh,null,COMMUNE DE SAINT MALO DE PHILY 35480 SAINT-MALO-DE-PHILY,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350132300017,https://marches.megalis.bretagne.bzh,null,COMMUNE DE HIREL 35120 HIREL,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21220076000016,https://marches.megalis.bretagne.bzh,null,COMMUNE DE HENANBIHEN 22550 HENANBIHEN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21560168300018,https://marches.megalis.bretagne.bzh,null,COMMUNE DE PLOUHARNEL 56340 PLOUHARNEL,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21290067400012,https://marches.megalis.bretagne.bzh,null,COMMUNE DE GUERLESQUIN 29650 GUERLESQUIN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350354300018,https://marches.megalis.bretagne.bzh,null,COMMUNE DE VIEUX VIEL 35610 VIEUX-VIEL,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21290248000012,https://marches.megalis.bretagne.bzh,null,COMMUNE DE SAINT FREGANT 29260 SAINT-FREGANT,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21290183900010,https://marches.megalis.bretagne.bzh,null,COMMUNE DE PLOUEGAT MOYSAN 29650 PLOUEGAT-MOYSAN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
25350018500025,https://marches.megalis.bretagne.bzh,null,SYND INTERCOMMUNAL DES EAUX DE LA FORET DU THEIL 35150 JANZE,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21350180200010,https://marches.megalis.bretagne.bzh,null,COMMUNE DE MINIAC SOUS BECHEREL 35190 MINIAC-SOUS-BECHEREL,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
21560091700011,https://marches.megalis.bretagne.bzh,null,COMMUNE DE JOSSELIN 56120 JOSSELIN,2021-05-06T09:54:46.246000,b94e8cf1-1e92-4e59-a8b7-9740f75b9053
